StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_3,Q4_1,Q4_2,Q4_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Please select your gender:,Please enter your age:,"On a scale from 1-7, rate the following questions: - How often do you play videogames?","On a scale from 1-7, rate the following questions: - How often do you use mixed reality applications (AR/VR)?","On a scale from 1-7, rate the following questions: - How often do you interact with robotic arms?","On a scale from 1-7, rate the following questions: - How often do you engage in activities requiring upper limb coordination?"
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_5""}"
26/03/2024 10:09,26/03/2024 10:10,IP Address,128.250.0.54,100,71,TRUE,26/03/2024 10:10,R_4vlfkZYdVXZWqkE,,,,,-37.8159,144.9669,qr,EN,1,Male,25,4,1,1,3
26/03/2024 13:30,26/03/2024 13:35,IP Address,128.250.0.54,100,288,TRUE,26/03/2024 13:35,R_4Qoxl2o4xRsCIT9,,,,,-37.8159,144.9669,qr,EN,2,Female,30,4,3,1,3
26/03/2024 15:02,26/03/2024 15:10,IP Address,128.250.0.54,100,498,TRUE,26/03/2024 15:10,R_4tA1FQX3Ob0H30O,,,,,-37.8159,144.9669,qr,EN,3,Female,22,4,1,1,5
26/03/2024 16:35,26/03/2024 16:36,IP Address,128.250.0.54,100,86,TRUE,26/03/2024 16:36,R_4dcTeeuPQ5v1aIn,,,,,-37.8159,144.9669,qr,EN,4,Male,25,4,1,1,2
26/03/2024 19:12,27/03/2024 10:31,IP Address,128.250.0.54,100,55137,TRUE,27/03/2024 10:31,R_4htbHL3wQi5u05H,,,,,-37.8159,144.9669,qr,EN,5,Female,24,4,2,2,3
27/03/2024 12:06,27/03/2024 12:07,IP Address,128.250.0.54,100,74,TRUE,27/03/2024 12:07,R_4jdLOU4M284bnOG,,,,,-37.8159,144.9669,qr,EN,6,Female,19,5,1,1,2
8/04/2024 10:41,8/04/2024 10:46,IP Address,128.250.0.54,100,329,TRUE,8/04/2024 10:46,R_42DWQ6XuqmmYiZe,,,,,-37.8159,144.9669,qr,EN,7,Male,30,3,1,1,3
27/03/2024 15:08,27/03/2024 15:11,IP Address,128.250.0.54,100,175,TRUE,27/03/2024 15:11,R_4DhgS8UWid9bq5q,,,,,-37.8159,144.9669,qr,EN,8,Male,30,3,2,1,4
