pid,condition,trial,average_mt,average_skip_first_mt,gender,age,video_games,mixed_reality,interact_robot,coordination
1,A,1,24.01744,24.18494444444444,Male,25,4,1,1,3
1,A,2,11.97367,12.1118,Male,25,4,1,1,3
1,B,1,7.755,8.027666666666667,Male,25,4,1,1,3
1,B,2,6.948780000000001,6.992455555555556,Male,25,4,1,1,3
1,C,1,4.9382600000000005,4.766588888888889,Male,25,4,1,1,3
1,C,2,4.74833,4.723955555555556,Male,25,4,1,1,3
1,D,1,5.0013700000000005,4.992022222222222,Male,25,4,1,1,3
1,D,2,5.87582,5.827644444444443,Male,25,4,1,1,3
2,A,1,11.40824,11.61651111111111,Female,30,4,3,1,3
2,A,2,7.594939999999999,7.353733333333333,Female,30,4,3,1,3
2,B,1,13.548420000000002,13.363944444444448,Female,30,4,3,1,3
2,B,2,10.17704,9.979688888888887,Female,30,4,3,1,3
2,C,1,6.954819999999998,6.977522222222223,Female,30,4,3,1,3
2,C,2,8.2656,8.629322222222221,Female,30,4,3,1,3
2,D,1,8.56407,7.866477777777778,Female,30,4,3,1,3
2,D,2,8.1717,8.466566666666665,Female,30,4,3,1,3
3,A,1,4.64099,4.376055555555556,Female,22,4,1,1,5
3,A,2,7.01443,7.127255555555556,Female,22,4,1,1,5
3,B,1,7.113470000000001,7.20328888888889,Female,22,4,1,1,5
3,B,2,6.778409999999999,6.898244444444444,Female,22,4,1,1,5
3,C,1,17.573529999999998,17.83524444444444,Female,22,4,1,1,5
3,C,2,19.73695,20.14466666666667,Female,22,4,1,1,5
3,D,1,8.020109999999999,7.303333333333334,Female,22,4,1,1,5
3,D,2,7.15307,7.188488888888888,Female,22,4,1,1,5
4,A,1,19.32823,20.370155555555552,Male,25,4,1,1,2
4,A,2,14.01545,13.154222222222224,Male,25,4,1,1,2
4,B,1,10.55078,10.348011111111113,Male,25,4,1,1,2
4,B,2,8.58504,9.052844444444442,Male,25,4,1,1,2
4,C,1,8.959309999999999,8.575766666666667,Male,25,4,1,1,2
4,C,2,9.04673,9.467966666666667,Male,25,4,1,1,2
4,D,1,12.86821,12.98198888888889,Male,25,4,1,1,2
4,D,2,10.83227,11.128433333333334,Male,25,4,1,1,2
5,A,1,21.247930000000004,22.22228888888889,Female,24,4,2,2,3
5,A,2,13.609920000000002,14.361055555555556,Female,24,4,2,2,3
5,B,1,12.22276,10.903411111111112,Female,24,4,2,2,3
5,B,2,10.11201,10.146755555555554,Female,24,4,2,2,3
5,C,1,8.31763,8.388211111111112,Female,24,4,2,2,3
5,C,2,6.27522,6.191288888888889,Female,24,4,2,2,3
5,D,1,7.14845,6.136977777777777,Female,24,4,2,2,3
5,D,2,5.94365,5.648999999999999,Female,24,4,2,2,3
6,A,1,12.33108,12.519477777777777,Female,19,5,1,1,2
6,A,2,25.18739,19.95714444444444,Female,19,5,1,1,2
6,B,1,8.455490000000001,8.000833333333334,Female,19,5,1,1,2
6,B,2,8.158080000000002,6.763111111111112,Female,19,5,1,1,2
6,C,1,13.010260000000002,13.742344444444443,Female,19,5,1,1,2
6,C,2,19.94519,21.3376,Female,19,5,1,1,2
6,D,1,8.08652,7.888355555555555,Female,19,5,1,1,2
6,D,2,6.64546,6.553055555555556,Female,19,5,1,1,2
7,A,1,53.96313,49.756722222222216,Male,30,3,1,1,3
7,A,2,16.89626,14.997966666666663,Male,30,3,1,1,3
7,B,1,8.85634,9.159433333333332,Male,30,3,1,1,3
7,B,2,10.15166,10.675433333333334,Male,30,3,1,1,3
7,C,1,17.39035,16.210166666666666,Male,30,3,1,1,3
7,C,2,20.918940000000003,21.891822222222224,Male,30,3,1,1,3
7,D,1,11.524539999999998,12.445799999999998,Male,30,3,1,1,3
7,D,2,10.64976,10.951555555555556,Male,30,3,1,1,3
8,A,1,15.93302,14.744644444444445,Male,30,3,2,1,4
8,A,2,12.97192,13.55421111111111,Male,30,3,2,1,4
8,B,1,6.37022,6.434666666666667,Male,30,3,2,1,4
8,B,2,7.019449999999999,7.271600000000002,Male,30,3,2,1,4
8,C,1,8.09626,8.167233333333334,Male,30,3,2,1,4
8,C,2,5.73919,5.762422222222222,Male,30,3,2,1,4
8,D,1,15.58046,15.962333333333332,Male,30,3,2,1,4
8,D,2,9.74052,9.8403,Male,30,3,2,1,4
9,A,1,39.42524,41.92563333333333,Male,25,1,2,1,7
9,A,2,23.010510000000004,24.157244444444448,Male,25,1,2,1,7
9,B,1,9.69466,10.173722222222224,Male,25,1,2,1,7
9,B,2,19.12367,18.593288888888893,Male,25,1,2,1,7
9,C,1,10.111009999999998,9.07962222222222,Male,25,1,2,1,7
9,C,2,9.24729,9.493733333333331,Male,25,1,2,1,7
9,D,1,30.77031000000001,30.86331111111112,Male,25,1,2,1,7
9,D,2,27.50509,21.02778888888889,Male,25,1,2,1,7
10,A,1,11.49516,8.375388888888887,Female,24,2,1,1,1
10,A,2,7.599920000000002,7.271277777777779,Female,24,2,1,1,1
10,B,1,25.5943,26.760455555555552,Female,24,2,1,1,1
10,B,2,16.46162,17.04897777777778,Female,24,2,1,1,1
10,C,1,7.543350000000001,7.438888888888889,Female,24,2,1,1,1
10,C,2,10.30516,9.9488,Female,24,2,1,1,1
10,D,1,6.06449,5.758955555555556,Female,24,2,1,1,1
10,D,2,6.12539,5.889733333333333,Female,24,2,1,1,1
11,A,1,13.750220000000002,13.890744444444444,Female,19,3,2,2,5
11,A,2,14.25452,15.372466666666664,Female,19,3,2,2,5
11,B,1,16.84655,16.611055555555552,Female,19,3,2,2,5
11,B,2,16.03686,15.309233333333331,Female,19,3,2,2,5
11,C,1,13.42603,14.295788888888886,Female,19,3,2,2,5
11,C,2,8.941660000000002,8.471966666666667,Female,19,3,2,2,5
11,D,1,16.732939999999996,16.245977777777775,Female,19,3,2,2,5
11,D,2,8.689440000000001,9.072022222222223,Female,19,3,2,2,5
12,A,1,15.85892,16.683811111111112,Female,29,3,2,3,2
12,A,2,12.469820000000002,13.278866666666666,Female,29,3,2,3,2
12,B,1,26.45171,28.56765555555556,Female,29,3,2,3,2
12,B,2,15.426200000000003,15.955288888888887,Female,29,3,2,3,2
12,C,1,15.10233,14.190433333333331,Female,29,3,2,3,2
12,C,2,9.89831,10.294766666666668,Female,29,3,2,3,2
