pid,condition,ranking
1,A,4
2,A,3
3,A,1
4,A,1
5,A,4
6,A,1
7,A,4
8,A,4
9,A,1
10,A,1
11,A,1
12,A,3
13,A,4
14,A,1
15,A,4
16,A,1
17,A,2
18,A,4
19,A,3
20,A,1
21,A,4
22,A,3
23,A,4
24,A,2
1,B,2
2,B,1
3,B,2
4,B,2
5,B,2
6,B,2
7,B,2
8,B,2
9,B,4
10,B,4
11,B,3
12,B,4
13,B,3
14,B,3
15,B,3
16,B,2
17,B,3
18,B,1
19,B,1
20,B,2
21,B,2
22,B,1
23,B,2
24,B,4
1,C,1
2,C,2
3,C,3
4,C,3
5,C,1
6,C,3
7,C,3
8,C,1
9,C,3
10,C,3
11,C,2
12,C,1
13,C,1
14,C,2
15,C,1
16,C,4
17,C,1
18,C,3
19,C,2
20,C,3
21,C,3
22,C,2
23,C,1
24,C,1
1,D,3
2,D,4
3,D,4
4,D,4
5,D,3
6,D,4
7,D,1
8,D,3
9,D,2
10,D,2
11,D,4
12,D,2
13,D,2
14,D,4
15,D,2
16,D,3
17,D,4
18,D,2
19,D,4
20,D,4
21,D,1
22,D,4
23,D,3
24,D,3
