ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,Unnamed: 18
10,B_HumanHorizontal,1,3,-0.03202116,0.7807099,0.9000004,-0.05069218,0.8054829,0.9000004,-0.05069207,0.8054822,0.802009,-0.09299111,0.8037762,0.6972384,0.09799131,202403271847422787,
10,B_HumanHorizontal,1,8,-0.03202114,0.3352904,0.9000004,-0.0410931,0.3106509,0.9000003,-0.04109294,0.3106505,0.846372,-0.07587553,0.3770106,0.7617817,0.05362834,202403271847573776,
10,B_HumanHorizontal,1,2,0.09346832,0.7626674,0.9000004,0.06911916,0.7592308,0.8999512,0.06911919,0.7592309,0.8059477,0.02195197,0.7749881,0.7044788,0.09400337,202403271848210167,
10,B_HumanHorizontal,1,7,-0.1473442,0.3879565,0.9000006,-0.1315607,0.4121279,0.9000003,-0.1315605,0.4121274,0.8602975,-0.1489408,0.4577123,0.7583715,0.03970281,202403271848539901,
10,B_HumanHorizontal,1,1,0.1892821,0.6796443,0.9000004,0.1666323,0.6829943,0.8998069,0.1666321,0.6829933,0.802052,0.1542947,0.6977325,0.6906986,0.09775486,202403271849183157,
10,B_HumanHorizontal,1,6,-0.2158865,0.4946103,0.9000006,-0.2247756,0.4776214,0.8996896,-0.2247757,0.4776213,0.8001666,-0.1952456,0.5253071,0.7020695,0.09952288,202403271850084268,
10,B_HumanHorizontal,1,0,0.2250002,0.5580003,0.9000003,0.2006416,0.5519139,0.9000006,0.2006416,0.5519134,0.8081602,0.2092333,0.5619047,0.6959312,0.09184025,202403271850405542,
10,B_HumanHorizontal,1,5,-0.2158865,0.6213901,0.9000005,-0.2294953,0.5981274,0.9000005,-0.2294953,0.5981269,0.8009492,-0.2198309,0.6311082,0.6933022,0.09905127,202403271851026458,
10,B_HumanHorizontal,1,10,0.1892821,0.4363559,0.9000004,0.1647974,0.4463628,0.9000005,0.1647975,0.4463622,0.8123391,0.1715784,0.4822237,0.7053952,0.08766143,202403271851177764,
10,B_HumanHorizontal,1,4,-0.1473442,0.7280439,0.9000005,-0.1610103,0.7074968,0.9000004,-0.16101,0.7074965,0.8003047,-0.1542506,0.7161533,0.6878397,0.09969565,202403271851447020,
10,B_HumanHorizontal,1,9,0.09346826,0.353333,0.9000005,0.06928794,0.3542712,0.8998886,0.0692883,0.3542713,0.8474897,0.08523126,0.396369,0.7438432,0.05239895,202403271851582217,
10,B_HumanHorizontal,2,3,-0.03202116,0.7807099,0.9000004,-0.05646513,0.7638775,0.9000003,-0.05646494,0.7638769,0.818723,-0.07080414,0.7693976,0.7067724,0.08127727,202403271853153707,
10,B_HumanHorizontal,2,8,-0.03202114,0.3352904,0.9000004,-0.04402081,0.3106009,0.9000005,-0.0440208,0.3106005,0.8109253,-0.05134264,0.3866174,0.7276377,0.08907516,202403271853265461,
10,B_HumanHorizontal,2,2,0.09346832,0.7626674,0.9000004,0.1041374,0.7874318,0.9000005,0.1041375,0.7874311,0.8034076,0.07408243,0.7869263,0.6944789,0.09659279,202403271853483213,
10,B_HumanHorizontal,2,7,-0.1473442,0.3879565,0.9000006,-0.1696139,0.3784282,0.8999096,-0.1696136,0.3784288,0.8064305,-0.1900144,0.4411445,0.7146724,0.09347903,202403271854002619,
10,B_HumanHorizontal,2,1,0.1892821,0.6796443,0.9000004,0.165951,0.6821797,0.8998527,0.1659506,0.6821787,0.81713,0.101633,0.6954498,0.7251724,0.08272265,202403271854263704,
10,B_HumanHorizontal,2,6,-0.2158865,0.4946103,0.9000006,-0.2403661,0.4784315,0.9000004,-0.2403658,0.4784312,0.8114721,-0.2523325,0.5265419,0.7099282,0.08852819,202403271855045883,
10,B_HumanHorizontal,2,0,0.2250002,0.5580003,0.9000003,0.2021199,0.5528561,0.8998669,0.2021201,0.5528554,0.8434385,0.179892,0.5837409,0.7370382,0.0564284,202403271855131193,
10,B_HumanHorizontal,2,5,-0.2158865,0.6213901,0.9000005,-0.2045845,0.6445952,0.9000003,-0.2045843,0.6445947,0.8491649,-0.2123022,0.6701014,0.7393522,0.0508354,202403271855284706,
10,B_HumanHorizontal,2,10,0.1892821,0.4363559,0.9000004,0.1881438,0.4613097,0.9000005,0.188144,0.461309,0.8428788,0.1670486,0.5042414,0.740503,0.0571216,202403271855392602,
10,B_HumanHorizontal,2,4,-0.1473442,0.7280439,0.9000005,-0.1603408,0.7501214,0.9000005,-0.1603407,0.7501208,0.8269399,-0.1831585,0.7535675,0.7163211,0.07306055,202403271855472748,
10,B_HumanHorizontal,2,9,0.09346826,0.353333,0.9000005,0.09010021,0.3308693,0.8998195,0.09010067,0.3308695,0.8584542,0.05524968,0.3923189,0.770259,0.0413653,202403271855599869,
10,A_Baseline,1,3,-0.03202116,0.7807099,0.9000004,-0.05201426,0.8046826,0.9000003,-0.05201411,0.8046821,0.823195,-0.05559411,0.7961475,0.7105747,0.07680527,202403271905329695,
10,A_Baseline,1,8,-0.03202114,0.3352904,0.9000004,-0.05571507,0.3121939,0.9000004,-0.05571494,0.3121935,0.8675156,-0.1060555,0.3696321,0.7842351,0.03248478,202403271906125426,
10,A_Baseline,1,2,0.09346832,0.7626674,0.9000004,0.06947241,0.7405956,0.9000004,0.06947248,0.740595,0.8200267,0.02842099,0.7566697,0.7159816,0.07997373,202403271906204586,
