pid,condition,trial,total_time,average_time
1,A_Baseline,1,240.1744,24.01744
1,A_Baseline,2,119.7367,11.97367
1,B_HumanHorizontal,1,77.55,7.755
1,B_HumanHorizontal,2,69.48780000000001,6.948780000000001
1,C_HumanVertical,1,49.382600000000004,4.9382600000000005
1,C_HumanVertical,2,47.4833,4.74833
1,D_RobotHorizontal,1,50.01370000000001,5.0013700000000005
1,D_RobotHorizontal,2,58.7582,5.87582
2,A_Baseline,1,114.0824,11.408240000000001
2,A_Baseline,2,75.9494,7.594939999999999
2,B_HumanHorizontal,1,135.48420000000002,13.548420000000002
2,B_HumanHorizontal,2,101.7704,10.17704
2,C_HumanVertical,1,69.54819999999998,6.954819999999998
2,C_HumanVertical,2,82.65599999999999,8.2656
2,D_RobotHorizontal,1,85.6407,8.56407
2,D_RobotHorizontal,2,81.717,8.1717
3,A_Baseline,1,46.40990000000001,4.64099
3,A_Baseline,2,70.1443,7.01443
3,B_HumanHorizontal,1,71.13470000000001,7.113470000000001
3,B_HumanHorizontal,2,67.7841,6.778409999999999
3,C_HumanVertical,1,175.73529999999997,17.573529999999998
3,C_HumanVertical,2,197.3695,19.73695
3,D_RobotHorizontal,1,80.2011,8.020109999999999
3,D_RobotHorizontal,2,71.5307,7.15307
4,A_Baseline,1,193.28230000000002,19.32823
4,A_Baseline,2,140.1545,14.015450000000001
4,B_HumanHorizontal,1,105.5078,10.55078
4,B_HumanHorizontal,2,85.8504,8.58504
4,C_HumanVertical,1,89.59309999999999,8.959309999999999
4,C_HumanVertical,2,90.46730000000001,9.04673
4,D_RobotHorizontal,1,128.68210000000002,12.868210000000001
4,D_RobotHorizontal,2,108.3227,10.83227
5,A_Baseline,1,212.47930000000002,21.247930000000004
5,A_Baseline,2,136.09920000000002,13.609920000000002
5,B_HumanHorizontal,1,122.22760000000001,12.222760000000001
5,B_HumanHorizontal,2,101.1201,10.11201
5,C_HumanVertical,1,83.1763,8.31763
5,C_HumanVertical,2,62.7522,6.27522
5,D_RobotHorizontal,1,71.4845,7.1484499999999995
5,D_RobotHorizontal,2,59.4365,5.94365
6,A_Baseline,1,123.3108,12.33108
6,A_Baseline,2,251.87390000000002,25.18739
6,B_HumanHorizontal,1,84.5549,8.455490000000001
6,B_HumanHorizontal,2,81.58080000000001,8.158080000000002
6,C_HumanVertical,1,130.10260000000002,13.010260000000002
6,C_HumanVertical,2,199.4519,19.94519
6,D_RobotHorizontal,1,80.8652,8.08652
6,D_RobotHorizontal,2,66.4546,6.64546
7,A_Baseline,1,539.6313,53.96313
7,A_Baseline,2,168.9626,16.89626
7,B_HumanHorizontal,1,88.5634,8.85634
7,B_HumanHorizontal,2,101.51660000000001,10.151660000000001
7,C_HumanVertical,1,173.9035,17.39035
7,C_HumanVertical,2,209.18940000000003,20.918940000000003
7,D_RobotHorizontal,1,115.24539999999999,11.524539999999998
7,D_RobotHorizontal,2,106.49759999999999,10.649759999999999
8,A_Baseline,1,159.3302,15.933019999999999
8,A_Baseline,2,129.7192,12.97192
8,B_HumanHorizontal,1,63.7022,6.37022
8,B_HumanHorizontal,2,70.19449999999999,7.019449999999999
8,C_HumanVertical,1,80.9626,8.09626
8,C_HumanVertical,2,57.3919,5.73919
8,D_RobotHorizontal,1,155.8046,15.580459999999999
8,D_RobotHorizontal,2,97.40520000000001,9.74052
9,A_Baseline,1,394.25239999999997,39.425239999999995
9,A_Baseline,2,230.10510000000002,23.010510000000004
9,B_HumanHorizontal,1,96.9466,9.69466
9,B_HumanHorizontal,2,191.23669999999998,19.123669999999997
9,C_HumanVertical,1,101.11009999999999,10.111009999999998
9,C_HumanVertical,2,92.4729,9.24729
9,D_RobotHorizontal,1,307.70310000000006,30.770310000000006
9,D_RobotHorizontal,2,275.05089999999996,27.505089999999996
10,A_Baseline,1,114.9516,11.49516
10,A_Baseline,2,75.99920000000002,7.599920000000002
10,B_HumanHorizontal,1,255.94299999999998,25.594299999999997
10,B_HumanHorizontal,2,164.6162,16.46162
10,C_HumanVertical,1,75.43350000000001,7.543350000000001
10,C_HumanVertical,2,103.0516,10.305159999999999
10,D_RobotHorizontal,1,60.6449,6.06449
10,D_RobotHorizontal,2,61.2539,6.12539
11,A_Baseline,1,137.50220000000002,13.750220000000002
11,A_Baseline,2,142.5452,14.25452
11,B_HumanHorizontal,1,168.4655,16.84655
11,B_HumanHorizontal,2,160.36860000000001,16.03686
11,C_HumanVertical,1,134.2603,13.42603
11,C_HumanVertical,2,89.41660000000002,8.941660000000002
11,D_RobotHorizontal,1,167.32939999999996,16.732939999999996
11,D_RobotHorizontal,2,86.8944,8.689440000000001
12,A_Baseline,1,158.5892,15.858920000000001
12,A_Baseline,2,124.69820000000001,12.469820000000002
12,B_HumanHorizontal,1,264.5171,26.451710000000002
12,B_HumanHorizontal,2,154.26200000000003,15.426200000000003
12,C_HumanVertical,1,151.0233,15.10233
12,C_HumanVertical,2,98.98310000000001,9.89831
12,D_RobotHorizontal,1,101.48330000000001,10.148330000000001
12,D_RobotHorizontal,2,87.8341,8.78341
13,A_Baseline,1,200.9886,20.09886
13,A_Baseline,2,149.5787,14.95787
13,B_HumanHorizontal,1,783.9372999999999,78.39372999999999
13,B_HumanHorizontal,2,309.4124,30.94124
13,C_HumanVertical,1,134.4971,13.44971
13,C_HumanVertical,2,78.5885,7.8588499999999994
13,D_RobotHorizontal,1,268.9126,26.89126
13,D_RobotHorizontal,2,172.4905,17.24905
14,A_Baseline,1,103.96669999999999,10.396669999999999
14,A_Baseline,2,74.1148,7.41148
14,B_HumanHorizontal,1,283.32040000000006,28.332040000000006
14,B_HumanHorizontal,2,156.84799999999998,15.6848
14,C_HumanVertical,1,92.10919999999999,9.210919999999998
14,C_HumanVertical,2,116.81459999999998,11.681459999999998
14,D_RobotHorizontal,1,215.4211,21.54211
14,D_RobotHorizontal,2,206.3482,20.634819999999998
15,A_Baseline,1,307.41060000000004,30.741060000000004
15,A_Baseline,2,172.91209999999998,17.29121
15,B_HumanHorizontal,1,181.9876,18.19876
15,B_HumanHorizontal,2,102.9182,10.29182
15,C_HumanVertical,1,172.299,17.2299
15,C_HumanVertical,2,126.9388,12.69388
15,D_RobotHorizontal,1,136.7038,13.67038
15,D_RobotHorizontal,2,130.4712,13.047120000000001
16,A_Baseline,1,108.0785,10.80785
16,A_Baseline,2,99.39419999999998,9.939419999999998
16,B_HumanHorizontal,1,74.20530000000001,7.420530000000001
16,B_HumanHorizontal,2,64.44630000000001,6.444630000000001
16,C_HumanVertical,1,237.08459999999997,23.708459999999995
16,C_HumanVertical,2,137.8161,13.78161
16,D_RobotHorizontal,1,72.6506,7.26506
16,D_RobotHorizontal,2,86.00059999999999,8.60006
17,A_Baseline,1,91.5798,9.15798
17,A_Baseline,2,94.3998,9.43998
17,B_HumanHorizontal,1,93.01389999999999,9.30139
17,B_HumanHorizontal,2,86.2976,8.629760000000001
17,C_HumanVertical,1,83.51529999999998,8.351529999999999
17,C_HumanVertical,2,79.3515,7.93515
17,D_RobotHorizontal,1,85.3287,8.532869999999999
17,D_RobotHorizontal,2,48.5654,4.85654
18,A_Baseline,1,154.08380000000002,15.408380000000003
18,A_Baseline,2,132.6891,13.26891
18,B_HumanHorizontal,1,151.7101,15.17101
18,B_HumanHorizontal,2,140.8677,14.086770000000001
18,C_HumanVertical,1,285.5535,28.555349999999997
18,C_HumanVertical,2,173.6242,17.36242
18,D_RobotHorizontal,1,130.1028,13.01028
18,D_RobotHorizontal,2,130.6658,13.066579999999998
19,A_Baseline,1,46.7156,4.67156
19,A_Baseline,2,40.325500000000005,4.0325500000000005
19,B_HumanHorizontal,1,58.650299999999994,5.865029999999999
19,B_HumanHorizontal,2,35.6881,3.56881
19,C_HumanVertical,1,126.4824,12.64824
19,C_HumanVertical,2,85.9503,8.59503
19,D_RobotHorizontal,1,48.765,4.8765
19,D_RobotHorizontal,2,45.699799999999996,4.569979999999999
20,A_Baseline,1,185.12250000000003,18.51225
20,A_Baseline,2,203.64370000000002,20.36437
20,B_HumanHorizontal,1,188.7345,18.87345
20,B_HumanHorizontal,2,230.38600000000002,23.038600000000002
20,C_HumanVertical,1,214.34490000000002,21.434490000000004
20,C_HumanVertical,2,165.88909999999998,16.58891
20,D_RobotHorizontal,1,388.1768,38.81768
20,D_RobotHorizontal,2,217.99570000000003,21.799570000000003
21,A_Baseline,1,48.282599999999995,4.828259999999999
21,A_Baseline,2,46.115399999999994,4.61154
21,B_HumanHorizontal,1,60.568000000000005,6.056800000000001
21,B_HumanHorizontal,2,48.7279,4.87279
21,C_HumanVertical,1,65.18260000000001,6.518260000000001
21,C_HumanVertical,2,54.918499999999995,5.4918499999999995
21,D_RobotHorizontal,1,116.8006,11.680060000000001
21,D_RobotHorizontal,2,95.071,9.5071
22,A_Baseline,1,39.518600000000006,3.951860000000001
22,A_Baseline,2,37.4677,3.74677
22,B_HumanHorizontal,1,65.5598,6.55598
22,B_HumanHorizontal,2,46.9114,4.69114
22,C_HumanVertical,1,38.516299999999994,3.851629999999999
22,C_HumanVertical,2,35.326,3.5326
22,D_RobotHorizontal,1,127.10189999999999,12.710189999999999
22,D_RobotHorizontal,2,72.8149,7.28149
23,A_Baseline,1,59.052099999999996,5.905209999999999
23,A_Baseline,2,56.06520000000001,5.6065200000000015
23,B_HumanHorizontal,1,80.2386,8.02386
23,B_HumanHorizontal,2,89.902,8.9902
23,C_HumanVertical,1,56.31379999999999,5.631379999999999
23,C_HumanVertical,2,36.9885,3.69885
23,D_RobotHorizontal,1,149.1013,14.91013
23,D_RobotHorizontal,2,182.9784,18.29784
24,A_Baseline,1,173.6282,17.36282
24,A_Baseline,2,161.0696,16.10696
24,B_HumanHorizontal,1,222.74990000000003,22.274990000000003
24,B_HumanHorizontal,2,194.052,19.4052
24,C_HumanVertical,1,192.08349999999996,19.208349999999996
24,C_HumanVertical,2,170.5514,17.05514
24,D_RobotHorizontal,1,428.1907,42.819069999999996
24,D_RobotHorizontal,2,378.13230000000004,37.813230000000004
