ParticipantID,Condition,Trial,TotalTime_seconds,TotalTime_minutes,AverageTime_seconds
1,A_Baseline,1,240.1744,4.0,24.02
1,A_Baseline,2,119.7367,2.0,11.97
1,A_Baseline,3,148.4149,2.47,14.84
1,B_HumanHorizontal,1,77.55,1.29,7.75
1,B_HumanHorizontal,2,69.4878,1.16,6.95
1,B_HumanHorizontal,3,75.3737,1.26,7.54
1,C_HumanVertical,1,49.3826,0.82,4.94
1,C_HumanVertical,2,47.4833,0.79,4.75
1,C_HumanVertical,3,51.254,0.85,5.13
1,C_HumanVertical,4,54.0652,0.9,5.41
1,C_HumanVertical,5,52.1003,0.87,5.21
1,D_RobotHorizontal,1,50.0137,0.83,5.0
1,D_RobotHorizontal,2,58.7582,0.98,5.88
1,D_RobotHorizontal,3,52.3032,0.87,5.23
1,D_RobotHorizontal,4,79.4744,1.32,7.95
1,D_RobotHorizontal,5,60.5316,1.01,6.05
3,A_Baseline,1,46.4099,0.77,4.64
3,A_Baseline,2,70.1443,1.17,7.01
3,A_Baseline,3,64.6728,1.08,6.47
3,B_HumanHorizontal,1,71.1347,1.19,7.11
3,B_HumanHorizontal,2,67.7841,1.13,6.78
3,B_HumanHorizontal,3,61.2827,1.02,6.13
3,C_HumanVertical,1,175.7353,2.93,17.57
3,C_HumanVertical,2,197.3695,3.29,19.74
3,C_HumanVertical,3,111.0649,1.85,11.11
3,D_RobotHorizontal,0,80.2011,1.34,8.02
3,D_RobotHorizontal,1,334.8025,5.58,33.48
3,D_RobotHorizontal,2,71.5307,1.19,7.15
3,D_RobotHorizontal,3,57.9173,0.97,5.79
4,A_Baseline,1,193.2823,3.22,19.33
4,A_Baseline,2,140.1545,2.34,14.02
4,A_Baseline,3,109.1005,1.82,10.91
4,B_HumanHorizontal,1,105.5078,1.76,10.55
4,B_HumanHorizontal,2,85.8504,1.43,8.59
4,B_HumanHorizontal,3,63.4925,1.06,6.35
4,B_HumanHorizontal,4,58.8121,0.98,5.88
4,C_HumanVertical,1,89.5931,1.49,8.96
4,C_HumanVertical,2,90.4673,1.51,9.05
4,C_HumanVertical,3,53.0996,0.88,5.31
4,C_HumanVertical,4,124.1212,2.07,12.41
4,C_HumanVertical,5,96.127,1.6,9.61
4,D_RobotHorizontal,1,128.6821,2.14,12.87
4,D_RobotHorizontal,2,108.3227,1.81,10.83
4,D_RobotHorizontal,3,100.5134,1.68,10.05
6,A_Baseline,1,123.3108,2.06,12.33
6,A_Baseline,2,251.8739,4.2,25.19
6,B_HumanHorizontal,0,84.5549,1.41,8.46
6,B_HumanHorizontal,1,81.5808,1.36,8.16
6,B_HumanHorizontal,2,72.8015,1.21,7.28
6,C_HumanVertical,1,130.1026,2.17,13.01
6,C_HumanVertical,2,199.4519,3.32,19.95
6,D_RobotHorizontal,1,80.8652,1.35,8.09
6,D_RobotHorizontal,2,66.4546,1.11,6.65
8,A_Baseline,1,159.3302,2.66,15.93
8,A_Baseline,2,129.7192,2.16,12.97
8,B_HumanHorizontal,1,63.7022,1.06,6.37
8,B_HumanHorizontal,2,70.1945,1.17,7.02
8,C_HumanVertical,1,80.9626,1.35,8.1
8,C_HumanVertical,2,57.3919,0.96,5.74
8,D_RobotHorizontal,1,155.8046,2.6,15.58
8,D_RobotHorizontal,2,97.4052,1.62,9.74
9,A_Baseline,1,394.2524,6.57,39.43
9,A_Baseline,2,230.1051,3.84,23.01
9,B_HumanHorizontal,1,96.9466,1.62,9.69
9,B_HumanHorizontal,2,191.2367,3.19,19.12
9,C_HumanVertical,1,101.1101,1.69,10.11
9,C_HumanVertical,2,280.2008,4.67,28.02
9,C_HumanVertical,3,92.4729,1.54,9.25
9,D_RobotHorizontal,1,307.7031,5.13,30.77
9,D_RobotHorizontal,2,275.0509,4.58,27.51
10,A_Baseline,1,114.9516,1.92,11.5
10,A_Baseline,2,75.9992,1.27,7.6
10,B_HumanHorizontal,1,255.943,4.27,25.59
10,B_HumanHorizontal,2,164.6162,2.74,16.46
10,C_HumanVertical,1,75.4335,1.26,7.54
10,C_HumanVertical,2,103.0516,1.72,10.31
10,D_RobotHorizontal,1,60.6449,1.01,6.06
10,D_RobotHorizontal,2,61.2539,1.02,6.13
11,A_Baseline,1,137.5022,2.29,13.75
11,A_Baseline,2,142.5452,2.38,14.25
11,B_HumanHorizontal,1,168.4655,2.81,16.85
11,B_HumanHorizontal,2,160.3686,2.67,16.04
11,C_HumanVertical,1,134.2603,2.24,13.43
11,C_HumanVertical,2,89.4166,1.49,8.94
11,D_RobotHorizontal,1,167.3294,2.79,16.73
11,D_RobotHorizontal,2,86.8944,1.45,8.69
12,A_Baseline,1,158.5892,2.64,15.86
12,A_Baseline,2,124.6982,2.08,12.47
12,B_HumanHorizontal,1,264.5171,4.41,26.45
12,B_HumanHorizontal,2,154.262,2.57,15.43
12,C_HumanVertical,1,151.0233,2.52,15.1
12,C_HumanVertical,2,98.9831,1.65,9.9
12,D_RobotHorizontal,1,101.4833,1.69,10.15
12,D_RobotHorizontal,2,87.8341,1.46,8.78
