pid,condition,time
1,A_Baseline,17.995
1,B_HumanHorizontal,7.35
1,C_HumanVertical,4.845000000000001
1,D_RobotHorizontal,5.4399999999999995
3,A_Baseline,5.824999999999999
3,B_HumanHorizontal,6.945
3,C_HumanVertical,18.655
3,D_RobotHorizontal,20.75
4,A_Baseline,16.674999999999997
4,B_HumanHorizontal,9.57
4,C_HumanVertical,9.005
4,D_RobotHorizontal,11.85
6,A_Baseline,18.76
6,B_HumanHorizontal,8.31
6,C_HumanVertical,16.48
6,D_RobotHorizontal,7.37
8,A_Baseline,14.45
8,B_HumanHorizontal,6.695
8,C_HumanVertical,6.92
8,D_RobotHorizontal,12.66
9,A_Baseline,31.22
9,B_HumanHorizontal,14.405000000000001
9,C_HumanVertical,19.064999999999998
9,D_RobotHorizontal,29.14
10,A_Baseline,9.55
10,B_HumanHorizontal,21.025
10,C_HumanVertical,8.925
10,D_RobotHorizontal,6.095
11,A_Baseline,14.0
11,B_HumanHorizontal,16.445
11,C_HumanVertical,11.184999999999999
11,D_RobotHorizontal,12.71
12,A_Baseline,14.165
12,B_HumanHorizontal,20.939999999999998
12,C_HumanVertical,12.5
12,D_RobotHorizontal,9.465
