StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Do you think the AR arms were helpful for your controlling of the robot arm and why?,Do you think it was more helpful with the virtual arm in the same orientation with the physical robot or with your own arm and why?,Do you think it was more helpful seeing a virtual human arm or seeing a virtual robot arm?,Condition preference - No hologram next to robot (Baseline),Condition preference - Horizontal human arm,Condition preference - Vertical human arm,Condition preference - Horizontal robot,Any extra comments or feedback in general?
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID7_TEXT""}"
26/03/2024 11:13,26/03/2024 11:16,IP Address,128.250.0.54,100,221,TRUE,26/03/2024 11:16,R_4i9S6xgkGLJziQk,,,,,-37.8159,144.9669,qr,EN,1,Yes. It helps to project the interaction of my arm with objects,Human arm in robot orientation felt better because I can feel moving my arm in that direction,The human arm was better,4,2,1,3,
10/04/2024 10:31,10/04/2024 10:34,IP Address,128.250.0.54,100,190,TRUE,10/04/2024 10:34,R_4xKxoTOGHSKfM0I,,,,,-37.8159,144.9669,qr,EN,2,"Yes, because it can give me a preview of which way the Robot will move",It’s better with my own arm,Virtual human arm,3,1,2,4,"The hologram of the robot arm make me think more about the position, so I ignore it and see the real robot movement instead"
26/03/2024 16:13,26/03/2024 16:16,IP Address,128.250.0.54,100,183,TRUE,26/03/2024 16:16,R_4sZ2bnlIfM7DuBE,,,,,-37.8159,144.9669,qr,EN,3,No. I still focus on the movement of the real robot arm.,Yes,Robot arm. Human arm is horrible.,1,2,3,4,
26/03/2024 17:34,26/03/2024 17:36,IP Address,128.250.0.54,100,93,TRUE,26/03/2024 17:36,R_4R9pDKTRzSi1KFT,,,,,-37.8159,144.9669,qr,EN,4,Yes,No,No,1,2,3,4,
9/04/2024 10:29,9/04/2024 10:35,IP Address,128.250.0.54,100,376,TRUE,9/04/2024 10:35,R_4Sr7DqGlMpqIFLO,,,,,-37.8159,144.9669,qr,EN,5,"It’s very helpful especially the vertical human arm. Since it follows the direction of the robot, I don’t need to think of the direction my arm goes to control the robot arm.","It was a lot more helpful with the virtual arm in the same orientation as the robot, because I don’t need to think about the right direction of my arm movement",Virtual human arm,4,2,1,3,"The vertical human arm makes me feel like I’m really controlling my own arm. In my opinion, the horizontal robot and no hologram is both not helpful "
27/03/2024 13:01,27/03/2024 13:04,IP Address,128.250.0.54,100,179,TRUE,27/03/2024 13:04,R_4fr3mh3ONaxToUB,,,,,-37.8159,144.9669,qr,EN,6,,,,1,2,3,4,
8/04/2024 11:47,8/04/2024 11:50,IP Address,128.250.0.54,100,200,TRUE,8/04/2024 11:50,R_4Sl9A4Jh9gCc3xL,,,,,-37.8159,144.9669,qr,EN,7,Yes,Yes,Yes,4,2,3,1,
27/03/2024 15:56,27/03/2024 15:59,IP Address,128.250.0.54,100,220,TRUE,27/03/2024 15:59,R_4M6g4wtoNDWCySO,,,,,-37.8159,144.9669,qr,EN,8,Yes,Yes,Yes,4,2,1,3,
27/03/2024 17:36,27/03/2024 17:38,IP Address,128.250.0.54,100,155,TRUE,27/03/2024 17:38,R_4SaA868XEWQMktH,,,,,-37.8159,144.9669,qr,EN,9,No they were not aligned with my arm and increased my difficulty ,Yes but the help is limited . I preferred just looking at the robot ,No it was equally worse ,1,4,3,2,
