pid,condition,difficulty,tlx_mental,tlx_physical,tlx_hurried,tlx_successful,tlx_hard,tlx_insecure,tlx_ave,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_ave,owner_ave,agency_ave
1,A,7.0,15.0,18.0,17.0,18.0,16.0,18.0,17.0,1.0,2.0,1.0,1.0,2.0,2.0,1.5,1.5,1.5
1,B,4.0,9.0,11.0,9.0,10.0,10.0,10.0,9.833333333333334,5.0,5.0,4.0,5.0,6.0,6.0,5.166666666666667,5.0,5.25
1,D,2.0,7.0,9.0,7.0,7.0,7.0,7.0,7.333333333333333,6.0,5.0,6.0,6.0,5.0,6.0,5.666666666666667,5.5,5.75
1,C,2.0,5.0,5.0,4.0,2.0,5.0,4.0,4.166666666666667,6.0,7.0,6.0,7.0,6.0,7.0,6.5,6.5,6.5
2,B,3.0,2.0,12.0,5.0,1.0,9.0,5.0,5.666666666666667,6.0,5.0,6.0,7.0,7.0,6.0,6.166666666666667,5.5,6.5
2,C,1.0,4.0,6.0,4.0,1.0,8.0,3.0,4.333333333333333,7.0,7.0,6.0,7.0,7.0,6.0,6.666666666666667,7.0,6.5
2,A,3.0,8.0,11.0,6.0,1.0,13.0,7.0,7.666666666666667,5.0,5.0,5.0,6.0,6.0,5.0,5.333333333333333,5.0,5.5
2,D,2.0,5.0,5.0,3.0,1.0,12.0,2.0,4.666666666666667,6.0,6.0,7.0,6.0,7.0,6.0,6.333333333333333,6.0,6.5
3,C,4.0,10.0,14.0,10.0,5.0,9.0,1.0,8.166666666666666,5.0,3.0,6.0,6.0,6.0,5.0,5.166666666666667,4.0,5.75
3,D,3.0,12.0,9.0,11.0,3.0,8.0,1.0,7.333333333333333,5.0,5.0,6.0,6.0,6.0,5.0,5.5,5.0,5.75
3,B,2.0,5.0,12.0,9.0,1.0,7.0,1.0,5.833333333333333,6.0,5.0,6.0,6.0,6.0,6.0,5.833333333333333,5.5,6.0
3,A,2.0,5.0,7.0,9.0,1.0,8.0,1.0,5.166666666666667,6.0,5.0,6.0,6.0,6.0,6.0,5.833333333333333,5.5,6.0
4,D,7.0,16.0,16.0,11.0,7.0,11.0,18.0,13.166666666666666,2.0,2.0,5.0,3.0,3.0,3.0,3.0,2.0,3.5
4,A,6.0,11.0,13.0,3.0,13.0,11.0,14.0,10.833333333333334,2.0,2.0,3.0,5.0,4.0,6.0,3.6666666666666665,2.0,4.5
4,C,2.0,9.0,14.0,6.0,5.0,5.0,7.0,7.666666666666667,6.0,6.0,6.0,5.0,6.0,6.0,5.833333333333333,6.0,5.75
4,B,1.0,7.0,10.0,4.0,5.0,9.0,4.0,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
5,A,7.0,18.0,16.0,10.0,11.0,16.0,18.0,14.833333333333334,1.0,1.0,2.0,3.0,4.0,2.0,2.1666666666666665,1.0,2.75
5,B,3.0,10.0,12.0,10.0,10.0,10.0,7.0,9.833333333333334,5.0,5.0,4.0,6.0,5.0,6.0,5.166666666666667,5.0,5.25
5,C,1.0,3.0,3.0,3.0,1.0,4.0,20.0,5.666666666666667,6.0,6.0,7.0,7.0,7.0,7.0,6.666666666666667,6.0,7.0
5,D,3.0,5.0,9.0,5.0,1.0,9.0,7.0,6.0,5.0,5.0,5.0,6.0,6.0,5.0,5.333333333333333,5.0,5.5
6,A,4.0,12.0,14.0,5.0,3.0,12.0,1.0,7.833333333333333,3.0,3.0,5.0,5.0,6.0,5.0,4.5,3.0,5.25
6,C,4.0,9.0,12.0,3.0,3.0,12.0,1.0,6.666666666666667,4.0,3.0,4.0,5.0,6.0,4.0,4.333333333333333,3.5,4.75
6,B,4.0,8.0,12.0,1.0,3.0,9.0,1.0,5.666666666666667,4.0,4.0,5.0,5.0,5.0,5.0,4.666666666666667,4.0,5.0
6,D,4.0,7.0,8.0,1.0,3.0,9.0,1.0,4.833333333333333,4.0,4.0,5.0,6.0,6.0,5.0,5.0,4.0,5.5
7,A,2.0,3.0,7.0,12.0,3.0,11.0,2.0,6.333333333333333,6.0,7.0,5.0,6.0,6.0,6.0,6.0,6.5,5.75
7,C,1.0,4.0,4.0,3.0,5.0,3.0,2.0,3.5,7.0,6.0,6.0,6.0,6.0,6.0,6.166666666666667,6.5,6.0
7,D,1.0,3.0,3.0,3.0,2.0,20.0,2.0,5.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
7,B,1.0,2.0,4.0,3.0,2.0,1.0,19.0,5.166666666666667,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
8,A,4.0,11.0,12.0,15.0,15.0,13.0,15.0,13.5,5.0,5.0,4.0,4.0,4.0,2.0,4.0,5.0,3.5
8,D,5.0,11.0,11.0,11.0,12.0,11.0,10.0,11.0,3.0,3.0,4.0,5.0,4.0,4.0,3.8333333333333335,3.0,4.25
8,B,3.0,10.0,10.0,9.0,9.0,12.0,8.0,9.666666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
8,C,3.0,12.0,12.0,12.0,8.0,8.0,11.0,10.5,3.0,3.0,5.0,5.0,5.0,5.0,4.333333333333333,3.0,5.0
9,A,4.0,10.0,12.0,1.0,3.0,8.0,10.0,7.333333333333333,2.0,1.0,1.0,3.0,4.0,3.0,2.3333333333333335,1.5,2.75
9,D,5.0,10.0,20.0,4.0,13.0,16.0,6.0,11.5,2.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0
9,C,5.0,16.0,20.0,3.0,11.0,20.0,5.0,12.5,2.0,2.0,2.0,3.0,4.0,2.0,2.5,2.0,2.75
9,B,6.0,5.0,11.0,11.0,13.0,7.0,5.0,8.666666666666666,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
10,B,6.0,16.0,10.0,3.0,7.0,8.0,5.0,8.166666666666666,4.0,3.0,4.0,5.0,7.0,5.0,4.666666666666667,3.5,5.25
10,A,2.0,16.0,9.0,8.0,5.0,3.0,2.0,7.166666666666667,7.0,6.0,7.0,6.0,6.0,6.0,6.333333333333333,6.5,6.25
10,C,2.0,12.0,9.0,8.0,3.0,3.0,2.0,6.166666666666667,6.0,6.0,6.0,6.0,7.0,6.0,6.166666666666667,6.0,6.25
10,D,1.0,7.0,12.0,5.0,2.0,1.0,1.0,4.666666666666667,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
11,B,5.0,3.0,11.0,3.0,3.0,7.0,2.0,4.833333333333333,3.0,4.0,5.0,7.0,7.0,7.0,5.5,3.5,6.5
11,A,4.0,3.0,12.0,3.0,7.0,9.0,2.0,6.0,3.0,4.0,7.0,7.0,7.0,7.0,5.833333333333333,3.5,7.0
11,D,4.0,3.0,12.0,3.0,5.0,8.0,3.0,5.666666666666667,4.0,7.0,7.0,7.0,7.0,7.0,6.5,5.5,7.0
11,C,2.0,2.0,5.0,2.0,3.0,5.0,2.0,3.1666666666666665,4.0,7.0,7.0,7.0,7.0,7.0,6.5,5.5,7.0
12,B,5.0,16.0,16.0,9.0,5.0,14.0,5.0,10.833333333333334,2.0,2.0,2.0,3.0,5.0,2.0,2.6666666666666665,2.0,3.0
12,C,4.0,9.0,9.0,7.0,5.0,9.0,1.0,6.666666666666667,4.0,4.0,4.0,4.0,5.0,5.0,4.333333333333333,4.0,4.5
12,D,3.0,6.0,7.0,2.0,5.0,5.0,1.0,4.333333333333333,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
12,A,3.0,2.0,9.0,2.0,5.0,5.0,2.0,4.166666666666667,5.0,4.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5
13,B,6.0,9.0,11.0,14.0,12.0,14.0,3.0,10.5,4.0,2.0,4.0,2.0,6.0,4.0,3.6666666666666665,3.0,4.0
13,D,4.0,7.0,4.0,7.0,9.0,7.0,5.0,6.5,5.0,4.0,5.0,5.0,5.0,5.0,4.833333333333333,4.5,5.0
13,A,3.0,5.0,6.0,3.0,8.0,12.0,3.0,6.166666666666667,4.0,5.0,5.0,5.0,5.0,6.0,5.0,4.5,5.25
13,C,2.0,3.0,5.0,3.0,6.0,5.0,3.0,4.166666666666667,5.0,5.0,5.0,5.0,6.0,6.0,5.333333333333333,5.0,5.5
14,B,6.0,7.0,12.0,3.0,1.0,11.0,5.0,6.5,3.0,3.0,3.0,6.0,7.0,5.0,4.5,3.0,5.25
14,D,3.0,3.0,10.0,5.0,1.0,6.0,3.0,4.666666666666667,5.0,5.0,4.0,5.0,7.0,7.0,5.5,5.0,5.75
14,C,2.0,5.0,8.0,5.0,14.0,5.0,3.0,6.666666666666667,6.0,6.0,7.0,7.0,7.0,7.0,6.666666666666667,6.0,7.0
14,A,1.0,3.0,5.0,2.0,1.0,4.0,2.0,2.8333333333333335,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
15,C,5.0,8.0,15.0,11.0,6.0,13.0,6.0,9.833333333333334,5.0,3.0,5.0,3.0,4.0,1.0,3.5,4.0,3.25
15,A,6.0,18.0,16.0,16.0,6.0,14.0,15.0,14.166666666666666,3.0,3.0,2.0,2.0,2.0,2.0,2.3333333333333335,3.0,2.0
15,B,5.0,17.0,13.0,15.0,6.0,16.0,15.0,13.666666666666666,2.0,3.0,2.0,2.0,3.0,2.0,2.3333333333333335,2.5,2.25
15,D,5.0,9.0,14.0,14.0,9.0,14.0,10.0,11.666666666666666,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
16,C,4.0,13.0,11.0,9.0,6.0,9.0,3.0,8.5,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5
16,A,2.0,6.0,12.0,14.0,4.0,4.0,1.0,6.833333333333333,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5
16,D,2.0,4.0,13.0,14.0,3.0,2.0,2.0,6.333333333333333,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5
16,B,2.0,2.0,10.0,2.0,2.0,2.0,1.0,3.1666666666666665,4.0,4.0,4.0,6.0,6.0,6.0,5.0,4.0,5.5
17,C,5.0,7.0,13.0,13.0,4.0,9.0,7.0,8.833333333333334,6.0,5.0,6.0,6.0,6.0,5.0,5.666666666666667,5.5,5.75
17,B,5.0,15.0,18.0,10.0,8.0,18.0,13.0,13.666666666666666,3.0,3.0,5.0,4.0,4.0,5.0,4.0,3.0,4.5
17,A,2.0,10.0,7.0,13.0,6.0,5.0,5.0,7.666666666666667,5.0,6.0,6.0,5.0,5.0,5.0,5.333333333333333,5.5,5.25
17,D,3.0,18.0,16.0,17.0,8.0,8.0,18.0,14.166666666666666,6.0,3.0,5.0,5.0,4.0,4.0,4.5,4.5,4.5
18,C,4.0,5.0,7.0,6.0,7.0,7.0,4.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.666666666666667,5.5,5.75
18,B,3.0,4.0,4.0,8.0,7.0,6.0,5.0,5.666666666666667,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
18,D,2.0,4.0,4.0,4.0,5.0,16.0,4.0,6.166666666666667,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
18,A,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
19,C,3.0,4.0,10.0,5.0,6.0,8.0,2.0,5.833333333333333,5.0,5.0,5.0,6.0,6.0,6.0,5.5,5.0,5.75
19,D,2.0,3.0,5.0,3.0,3.0,5.0,1.0,3.3333333333333335,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
19,B,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.8333333333333333,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
19,A,1.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
20,D,3.0,10.0,12.0,3.0,7.0,5.0,1.0,6.333333333333333,5.0,3.0,5.0,5.0,5.0,5.0,4.666666666666667,4.0,5.0
20,A,5.0,7.0,14.0,5.0,9.0,12.0,5.0,8.666666666666666,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20,B,3.0,5.0,14.0,7.0,9.0,14.0,5.0,9.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
20,C,3.0,5.0,12.0,5.0,9.0,5.0,5.0,6.833333333333333,6.0,5.0,5.0,5.0,6.0,5.0,5.333333333333333,5.5,5.25
21,D,3.0,6.0,10.0,5.0,6.0,8.0,5.0,6.666666666666667,3.0,5.0,5.0,5.0,6.0,5.0,4.833333333333333,4.0,5.25
21,C,2.0,2.0,5.0,2.0,3.0,3.0,1.0,2.6666666666666665,6.0,5.0,6.0,5.0,6.0,6.0,5.666666666666667,5.5,5.75
21,A,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.6666666666666667,6.0,5.0,6.0,7.0,7.0,7.0,6.333333333333333,5.5,6.75
21,B,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.1666666666666667,7.0,6.0,7.0,7.0,7.0,7.0,6.833333333333333,6.5,7.0
22,D,4.0,12.0,13.0,6.0,4.0,5.0,5.0,7.5,3.0,5.0,5.0,5.0,6.0,5.0,4.833333333333333,4.0,5.25
22,B,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.1666666666666665,6.0,5.0,5.0,5.0,6.0,5.0,5.333333333333333,5.5,5.25
22,A,1.0,7.0,5.0,3.0,2.0,3.0,2.0,3.6666666666666665,7.0,5.0,5.0,6.0,6.0,6.0,5.833333333333333,6.0,5.75
22,C,1.0,4.0,2.0,3.0,18.0,3.0,3.0,5.5,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.5,5.75
23,D,6.0,18.0,14.0,5.0,7.0,14.0,12.0,11.666666666666666,4.0,4.0,6.0,4.0,4.0,6.0,4.666666666666667,4.0,5.0
