name,text
P12_after4,"I guess you can also read if you want. Basically it's pretty much asking if the virtual rendering here helped at all with the task. Maybe not all of them helped. And yeah, if you have any comments on any of them you can just, we can discuss. The first one I think a little bit, but actually most of the time I wasn't looking at, yeah I was focusing on the dog actually. But when I see that the arm and this arm is in the same direction, I just feel it more secure I think. You mean the human arm but in a vertical direction? The virtual arm and this arm. I mean I think the second one when you match it with the same angle, it looks the same when it, yeah the angle of this arm and that arm is the same. So it feels more, I think it feels more secure when I try to adjust my movement. Ah, okay. So you were were you using that one at all? Like maybe to check? Just to check. Randomly check. But most of the time I wasn't looking at the arm. Okay, that's interesting. Yeah, so the second question is yes. I think the virtual is better. Oh yeah, so the yellow arm was like the human arm. So that was the vertical one like, and then we showed one condition of the robot arm, which was in this direction. The yellow one was the first one, right? So the first and the second was both the yellow arm. Okay, okay. Yeah, I think it's the yellow arm basically. Yeah, so the human arm. Do you know really why? Do you have a reason for that? I don't know, it's just feelings. I mean, because when I was doing the experiment, I only know that it's the yellow arm, I didn't know it was representing the human arm. Oh, okay. Okay, no worries. Yeah, it's just ranking, you can see. Yeah, if you feel like the, so I think if you mentioned the, so yeah, so vertical human arm, if you think that's the, that's the one where you mentioned like you felt more secure, you put that top. So, which was the horizontal human arm? It's also the yellow arm, but in the horizontal. I think it was the first one. Okay, thank you. Yeah, I will type the rest. I'll just type yes. Thanks for the verbal feedback, that's very helpful. This is Anthony, by the way. Okay, hi. Which class you are doing now? Exploratory now. Oh, that's fast. Yes, very. It's good. Yeah."
P12_exploratory,"Yeah, you can answer, too. You can ask him. Okay. Cool. I guess in general, the final two tasks, was it more difficult than the reaching, or was it less difficult than... What do you think? I think it's more difficult. Okay. Any specific reasons? Because I think for the first two tasks, you just have to approach one point. Yeah. But for the second, the grabbing one, maybe you're still approaching the same point, but the drawing one is different. It's completely different. Yeah. So it's like, yeah, the direction is also a little confusing. Ah, okay. And the grabbing one is... I don't know. It's hard to determine when to start to grab. Because in my perspective, from my perspective, I see that my hand is already trying to, you know, it's already interfering with the object, but when I try to grab it, it's not so. Right. If there is, like, an indication. So, for example, when it's ready to grab it, you know, like... Change color. Change color. A bit more indicative in terms of telling me when to grab or where to stop. Yeah, yeah, yeah. Yeah, and I guess, like, yeah, that's probably the main limitation with that task. You don't get a very good view of it as well. Yeah. There's some, like, issues with the visualization. Like, you think it's deep enough, but actually from, like, what I can see there, yeah, there's still some distance there, yeah. And when the distance is correct, maybe you're, like, to the side of it. It's quite difficult. Yeah, yeah. And it's interesting, like, the drawing you mentioned, so it's kind of like a different type of task, basically. Yeah, yeah. Because the other one, you try to reach one position, but with the drawing, you care about the path to the position. Yeah, that's right. Okay. Cool, yeah, that's it. Okay. All done. I will give you a... Thank you so much."
P16_after4,"The last task? Yeah. So I guess first of all, with those last two tasks, how did you feel compared to the other reaching tasks? Were they more difficult? Were they easier? Yeah, it was a little bit more difficult because it required to close the fingers and maintain your position in the same plane. But yeah, it was very interesting as well to try new things. Yeah, yeah, that's great. Which part, I guess other aspects, depth for instance, did you find that to be a factor that made it more difficult? Yeah, yeah. Like I guess what you were mentioning, like with the drawing, it's like discontinuous. Exactly, yeah. I guess I wanted to do it continuously, but yeah, probably, yeah, as you said, I was maybe like, yeah, getting off the plane, yeah, and so yeah, it's hard to stay in the same plane. The drawing was more difficult, but yeah, it was very interesting. Awesome. And then I guess finally, just in general, to move the robot, what sort of strategy did you use? Because it was like rotated, right? Yeah. Okay, yeah. So how did you think? So actually, I rotated my head in my mind. Okay. So like, I was trying to do like that. So you imagine yourself like that? Exactly. Okay. Awesome. So I imagine, yeah, myself like that. And then yeah, it was easier that way. Yes. Right. Cool. Yeah. Awesome, awesome. Yeah. "
P20_exploratory,"yeah yeah so I guess with firstly like did you find those two activities to be more difficult than the reaching yeah the first one that I have to grab something is easier than the second one okay yeah yeah okay so I guess the the easy easiness of the first task or like even the reaching task comes from but it's only a position like whereas the drawing you have to maintain that we mean I maintain the path yeah yeah okay that's interesting cool and then I guess did you also find other aspects of the task to be difficult you like with the drawing I draw, it's like, it's really sensitive to the motion that I done and when I want to make like a line it's like sometimes it's like not touch the, because it's like, you don't know how far yeah and it's very sensitive yeah yeah I guess the actually the most one of the most difficult parts of this setup apart from the rotation is just like but you don't have good depth perception you're not sure how far you are in this direction that's always quite difficult even with augmented reality still quite difficult yeah cool and I guess finally I think you mentioned before but like what was your strategy to controlling the arm because it's rotated right it's very weird so I think previously you mentioned that you I just just think about the formula it's like if you want to move the robot up you have to move like right and things like this okay all right cool all right that's it okay thank you so much"
P23_after4,"Yeah, cool, I guess you can also read the question, but basically the first one asks, do you think like this rendering was helpful in helping control the arm? Yeah, I think not the first one, but for the second and third one, especially for the third one, it's most helpful. Right, okay, so firstly, you prefer the human arms over the robot arm? Yeah. Yeah, is there a reason? Do you think of a reason you think? I just feel like the first one is basically the same on the right, so it doesn't help. Yeah. Yeah, it doesn't provide me any information, but for the human arm, it's kind of like I can't see my arm right here, but I can see my arm performing something. Right, okay, great. And then you mentioned that the vertical one was better than the horizontal? Yeah. Yeah, and do you have a reason for that? I'm not sure. So when I'm performing the test, I'm imagining the whole target 90 degrees. Oh, I see. In another position, you know, it's not, yeah, it's on the other rotation. And so it's better for me to use the rotated arm to choose. I see, so it's kind of like, it's convenient to help you check physically. Yeah. Because it's in the same orientation as the robot. Yeah. And also the target, pretty much. Yeah, I'm imagining the target. Okay, cool. Yeah, that's all. Can you please just write this for me? I think you can just click and drag them. I guess I can also do it. Because I'm, so you want the vertical human arm. Is that correct? Yeah. Vertical, so human arms first. Okay. Yes. All right. And any extra feedback if you want to? Just about this, like this part of the task in general. Yeah, that's okay. We actually have like, the two activities afterwards, we'll have another discussion in general about the entire stuff. Yeah, yeah, yeah, one thing is these two distances cannot distract me, maybe. I'm not sure how to keep this closer. Yeah, that is a good point. So like, they are not, I guess, they're like on the side. It's a bit weird. Yeah, so this can't provide me any information because it's so far."
P23_exploratory,"Yeah, you can say whatever you want. Yeah, so firstly, so how difficult were those two tasks compared with the previous one, like more difficult, less difficult? Yeah, I think more difficult, because the first one is 3D, and I have to grip it. It's not something that happens in the experiment. Sure. And for the third one, it's hard to keep the hand in a plate. Yeah. So I think that's difficult for the second one. The depth direction, yeah, it's probably the most difficult. Even like, I think any virtual or like these virtual renderings is quite difficult to perceive. That's why we had the line initially for the target reaching task. Yeah, why is the line missing here? Yeah, I don't know. Forgot to add. To add some difficulty here. Yeah, that would be nice. But I think the crayon might block it. Yeah. But yeah, we definitely agree, like some depth perception would be nice. Yeah, and so you mentioned that basically the control strategy you developed is you try to rotate the target in your head. Is that how? Yeah. Do you imagine yourself lying down, or you try to rotate the targets? And imagine like working here. Just trying to reach the rotated target. I see. So you rotate the targets first. Yeah. I can imagine it's another target. I see. Mapping with this one. So I'm trying to use my hand to reach the virtual target. Yeah, so like as an example, if the target was the top one, then you imagine it's the right one. Also because it's round, so it's easier to imagine. OK. So I don't need to change it. The position is already here. And I just need to turn the right one to another thing. OK. All right, cool. That's it. All good."
P2_after4,"Yeah, you're right. Yeah. Because... I thought it would be easier but I don't think it's quite the blocking. Yeah, if you are in the back, the robot will block everything. Yeah, because it's kind of big. Yeah. Awesome. Thank you. Thank you. So, I'm done, right? Yep."
P3_after4,"There was not a screen in front of the control arm and the task is still this two, so I just look at this. Okay. That's fine. But did you find any of the conditions helpful? No? The same? No. Not really? So I guess you only focus on the main task in the gripper? Yes. All the time. That's fine."
P6_after4,"Okay, yeah, so we did those four different conditions. Did you feel that the virtual rendering here was helpful at all? No, I didn't use it. So you didn't use it at all, yeah. What about in the initial round? I guess in the initial round you had no virtual rendering. The second one maybe, do you feel like it was, like with the vertical arm, was it, did you maybe glance over it at all or you just didn't use it, okay. No, I didn't use it. Right, so your, I guess your approach to the task is just to look directly there and, yeah. I looked at the vertical arm. Yeah, so you look at the real robot arm, okay, cool. What about like the depth perception, would you feel about the depth, was it, did you have some trouble there or do you think the line was helpful? Yeah, I think the line was helpful. Yeah, yeah, because the position I guess is. Yeah, if I didn't see the line, I know that I'm reaching too far. Ah, okay, yeah, so you can kind of feel also, so you basically feel like there's also a workspace kind of here, right, like when you can also. Yeah, and finally, that's it, okay, we'll do the fine activities now."
P6_exploratory,"Yeah, so I guess like, how did you find those two activities compared to like the previous task of just like reaching like multiple? Much more harder. Much more harder, okay. Much more harder. Would you say like maybe in those activities like the virtual rendering will help or not really? I didn't even notice there is something here. Ah, okay, okay. Yeah. No, no, no. So there wasn't. There wasn't in the final two, yeah. And so you mentioned something about the depth in the drawing. Yeah. Yeah. I think that's the hardest part. I didn't know where to start at that point. Right, yeah. Yeah, I think based on like how we designed it, it's similar to like the reaching, if you get within like 10 centimeters or maybe 5 centimeters. Yeah. And the other thing is I guess when you, like when we draw, we actually have like some force upward. Yeah. Yeah. Would you say that would also help? Like force feedback? Like haptic. Yeah. Yeah. I can't really see the difference. Yeah. Yeah. Cool. All right. That's it. All done."
