pid,condition,tlx_item,tlx_score
1,Baseline,Mental Demand,15.0
1,Baseline,Physical Demand,18.0
1,Baseline,Temporal Demand,17.0
1,Baseline,Performance,18.0
1,Baseline,Effort,16.0
1,Baseline,Frustration,18.0
1,HumanHorizontal,Mental Demand,9.0
1,HumanHorizontal,Physical Demand,11.0
1,HumanHorizontal,Temporal Demand,9.0
1,HumanHorizontal,Performance,10.0
1,HumanHorizontal,Effort,10.0
1,HumanHorizontal,Frustration,10.0
1,RobotHorizontal,Mental Demand,7.0
1,RobotHorizontal,Physical Demand,9.0
1,RobotHorizontal,Temporal Demand,7.0
1,RobotHorizontal,Performance,7.0
1,RobotHorizontal,Effort,7.0
1,RobotHorizontal,Frustration,7.0
1,HumanVertical,Mental Demand,5.0
1,HumanVertical,Physical Demand,5.0
1,HumanVertical,Temporal Demand,4.0
1,HumanVertical,Performance,2.0
1,HumanVertical,Effort,5.0
1,HumanVertical,Frustration,4.0
2,HumanHorizontal,Mental Demand,2.0
2,HumanHorizontal,Physical Demand,12.0
2,HumanHorizontal,Temporal Demand,5.0
2,HumanHorizontal,Performance,1.0
2,HumanHorizontal,Effort,9.0
2,HumanHorizontal,Frustration,5.0
2,HumanVertical,Mental Demand,4.0
2,HumanVertical,Physical Demand,6.0
2,HumanVertical,Temporal Demand,4.0
2,HumanVertical,Performance,1.0
2,HumanVertical,Effort,8.0
2,HumanVertical,Frustration,3.0
2,Baseline,Mental Demand,8.0
2,Baseline,Physical Demand,11.0
2,Baseline,Temporal Demand,6.0
2,Baseline,Performance,1.0
2,Baseline,Effort,13.0
2,Baseline,Frustration,7.0
2,RobotHorizontal,Mental Demand,5.0
2,RobotHorizontal,Physical Demand,5.0
2,RobotHorizontal,Temporal Demand,3.0
2,RobotHorizontal,Performance,1.0
2,RobotHorizontal,Effort,12.0
2,RobotHorizontal,Frustration,2.0
3,HumanVertical,Mental Demand,10.0
3,HumanVertical,Physical Demand,14.0
3,HumanVertical,Temporal Demand,10.0
3,HumanVertical,Performance,5.0
3,HumanVertical,Effort,9.0
3,HumanVertical,Frustration,1.0
3,RobotHorizontal,Mental Demand,12.0
3,RobotHorizontal,Physical Demand,9.0
3,RobotHorizontal,Temporal Demand,11.0
3,RobotHorizontal,Performance,3.0
3,RobotHorizontal,Effort,8.0
3,RobotHorizontal,Frustration,1.0
3,HumanHorizontal,Mental Demand,5.0
3,HumanHorizontal,Physical Demand,12.0
3,HumanHorizontal,Temporal Demand,9.0
3,HumanHorizontal,Performance,1.0
3,HumanHorizontal,Effort,7.0
3,HumanHorizontal,Frustration,1.0
3,Baseline,Mental Demand,5.0
3,Baseline,Physical Demand,7.0
3,Baseline,Temporal Demand,9.0
3,Baseline,Performance,1.0
3,Baseline,Effort,8.0
3,Baseline,Frustration,1.0
4,RobotHorizontal,Mental Demand,16.0
4,RobotHorizontal,Physical Demand,16.0
4,RobotHorizontal,Temporal Demand,11.0
4,RobotHorizontal,Performance,7.0
4,RobotHorizontal,Effort,11.0
4,RobotHorizontal,Frustration,18.0
4,Baseline,Mental Demand,11.0
4,Baseline,Physical Demand,13.0
4,Baseline,Temporal Demand,3.0
4,Baseline,Performance,13.0
4,Baseline,Effort,11.0
4,Baseline,Frustration,14.0
4,HumanVertical,Mental Demand,9.0
4,HumanVertical,Physical Demand,14.0
4,HumanVertical,Temporal Demand,6.0
4,HumanVertical,Performance,5.0
4,HumanVertical,Effort,5.0
4,HumanVertical,Frustration,7.0
4,HumanHorizontal,Mental Demand,7.0
4,HumanHorizontal,Physical Demand,10.0
4,HumanHorizontal,Temporal Demand,4.0
4,HumanHorizontal,Performance,5.0
4,HumanHorizontal,Effort,9.0
4,HumanHorizontal,Frustration,4.0
5,Baseline,Mental Demand,18.0
5,Baseline,Physical Demand,16.0
5,Baseline,Temporal Demand,10.0
5,Baseline,Performance,11.0
5,Baseline,Effort,16.0
5,Baseline,Frustration,18.0
5,HumanHorizontal,Mental Demand,10.0
5,HumanHorizontal,Physical Demand,12.0
5,HumanHorizontal,Temporal Demand,10.0
5,HumanHorizontal,Performance,10.0
5,HumanHorizontal,Effort,10.0
5,HumanHorizontal,Frustration,7.0
5,HumanVertical,Mental Demand,3.0
5,HumanVertical,Physical Demand,3.0
5,HumanVertical,Temporal Demand,3.0
5,HumanVertical,Performance,1.0
5,HumanVertical,Effort,4.0
5,HumanVertical,Frustration,20.0
5,RobotHorizontal,Mental Demand,5.0
5,RobotHorizontal,Physical Demand,9.0
5,RobotHorizontal,Temporal Demand,5.0
5,RobotHorizontal,Performance,1.0
5,RobotHorizontal,Effort,9.0
5,RobotHorizontal,Frustration,7.0
6,Baseline,Mental Demand,12.0
6,Baseline,Physical Demand,14.0
6,Baseline,Temporal Demand,5.0
6,Baseline,Performance,3.0
6,Baseline,Effort,12.0
6,Baseline,Frustration,1.0
6,HumanVertical,Mental Demand,9.0
6,HumanVertical,Physical Demand,12.0
6,HumanVertical,Temporal Demand,3.0
6,HumanVertical,Performance,3.0
6,HumanVertical,Effort,12.0
6,HumanVertical,Frustration,1.0
6,HumanHorizontal,Mental Demand,8.0
6,HumanHorizontal,Physical Demand,12.0
6,HumanHorizontal,Temporal Demand,1.0
6,HumanHorizontal,Performance,3.0
6,HumanHorizontal,Effort,9.0
6,HumanHorizontal,Frustration,1.0
6,RobotHorizontal,Mental Demand,7.0
6,RobotHorizontal,Physical Demand,8.0
6,RobotHorizontal,Temporal Demand,1.0
6,RobotHorizontal,Performance,3.0
6,RobotHorizontal,Effort,9.0
6,RobotHorizontal,Frustration,1.0
7,Baseline,Mental Demand,3.0
7,Baseline,Physical Demand,7.0
7,Baseline,Temporal Demand,12.0
7,Baseline,Performance,3.0
7,Baseline,Effort,11.0
7,Baseline,Frustration,2.0
7,HumanVertical,Mental Demand,4.0
7,HumanVertical,Physical Demand,4.0
7,HumanVertical,Temporal Demand,3.0
7,HumanVertical,Performance,5.0
7,HumanVertical,Effort,3.0
7,HumanVertical,Frustration,2.0
7,RobotHorizontal,Mental Demand,3.0
7,RobotHorizontal,Physical Demand,3.0
7,RobotHorizontal,Temporal Demand,3.0
7,RobotHorizontal,Performance,2.0
7,RobotHorizontal,Effort,20.0
7,RobotHorizontal,Frustration,2.0
7,HumanHorizontal,Mental Demand,2.0
7,HumanHorizontal,Physical Demand,4.0
7,HumanHorizontal,Temporal Demand,3.0
7,HumanHorizontal,Performance,2.0
7,HumanHorizontal,Effort,1.0
7,HumanHorizontal,Frustration,19.0
8,Baseline,Mental Demand,11.0
8,Baseline,Physical Demand,12.0
8,Baseline,Temporal Demand,15.0
8,Baseline,Performance,15.0
8,Baseline,Effort,13.0
8,Baseline,Frustration,15.0
8,RobotHorizontal,Mental Demand,11.0
8,RobotHorizontal,Physical Demand,11.0
8,RobotHorizontal,Temporal Demand,11.0
8,RobotHorizontal,Performance,12.0
8,RobotHorizontal,Effort,11.0
8,RobotHorizontal,Frustration,10.0
8,HumanHorizontal,Mental Demand,10.0
8,HumanHorizontal,Physical Demand,10.0
8,HumanHorizontal,Temporal Demand,9.0
8,HumanHorizontal,Performance,9.0
8,HumanHorizontal,Effort,12.0
8,HumanHorizontal,Frustration,8.0
8,HumanVertical,Mental Demand,12.0
8,HumanVertical,Physical Demand,12.0
8,HumanVertical,Temporal Demand,12.0
8,HumanVertical,Performance,8.0
8,HumanVertical,Effort,8.0
8,HumanVertical,Frustration,11.0
9,Baseline,Mental Demand,10.0
9,Baseline,Physical Demand,12.0
9,Baseline,Temporal Demand,1.0
9,Baseline,Performance,3.0
9,Baseline,Effort,8.0
9,Baseline,Frustration,10.0
9,RobotHorizontal,Mental Demand,10.0
9,RobotHorizontal,Physical Demand,20.0
9,RobotHorizontal,Temporal Demand,4.0
9,RobotHorizontal,Performance,13.0
9,RobotHorizontal,Effort,16.0
9,RobotHorizontal,Frustration,6.0
9,HumanVertical,Mental Demand,16.0
9,HumanVertical,Physical Demand,20.0
9,HumanVertical,Temporal Demand,3.0
9,HumanVertical,Performance,11.0
9,HumanVertical,Effort,20.0
9,HumanVertical,Frustration,5.0
9,HumanHorizontal,Mental Demand,5.0
9,HumanHorizontal,Physical Demand,11.0
9,HumanHorizontal,Temporal Demand,11.0
9,HumanHorizontal,Performance,13.0
9,HumanHorizontal,Effort,7.0
9,HumanHorizontal,Frustration,5.0
10,HumanHorizontal,Mental Demand,16.0
10,HumanHorizontal,Physical Demand,10.0
10,HumanHorizontal,Temporal Demand,3.0
10,HumanHorizontal,Performance,7.0
10,HumanHorizontal,Effort,8.0
