pid,gender,age,video_games,mixed_reality,interact_robot,coordination
1,female,33,3,3,1,6
2,male,31,2,3,1,5
3,female,23,2,3,2,2
4,female,21,5,3,4,3
5,female,21,4,1,1,3
6,male,25,7,1,2,3
7,female,31,3,2,1,2
8,male,21,6,7,6,6
9,male,30,1,1,1,6
10,female,19,1,2,2,1
11,female,22,1,1,1,7
12,male,27,1,3,4,7
13,male,28,4,2,2,3
14,male,27,7,2,1,2
15,female,37,4,2,2,6
16,female,21,4,1,1,3
17,female,20,7,1,1,7
18,male,31,7,2,1,3
19,female,23,3,2,1,1
20,male,27,4,2,2,2
21,female,22,3,1,1,1
22,female,27,2,1,1,4
23,male,25,2,2,2,5
24,female,22,2,1,1,6
