StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4_3,Q4_1,Q4_2,Q4_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,Please select your gender:,Please enter your age:,"On a scale from 1-7, rate the following questions: - How often do you play videogames?","On a scale from 1-7, rate the following questions: - How often do you use mixed reality applications (AR/VR)?","On a scale from 1-7, rate the following questions: - How often do you interact with robotic arms?","On a scale from 1-7, rate the following questions: - How often do you engage in activities requiring upper limb coordination?"
"{""ImportId"":""startDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Canberra""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_5""}"
22/08/2024 12:53,22/08/2024 12:55,0,128.250.0.37,100,65,1,22/08/2024 12:55,R_4wqnodFLMwFPnYR,,,,,-37.8159,144.9669,qr,EN,14,9,27,7,2,1,2
22/08/2024 14:12,22/08/2024 14:13,0,128.250.0.37,100,57,1,22/08/2024 14:13,R_42lR9xoSGDAuvw3,,,,,-37.8159,144.9669,qr,EN,3,10,23,2,3,2,2
22/08/2024 15:27,22/08/2024 15:29,0,128.250.0.37,100,129,1,22/08/2024 15:29,R_46F5uLsWhZAuGVH,,,,,-37.8159,144.9669,qr,EN,15,10,37,4,2,2,6
22/08/2024 17:55,22/08/2024 17:56,0,128.250.0.37,100,67,1,22/08/2024 17:56,R_4PvsAaSwzFvcBwn,,,,,-37.8159,144.9669,qr,EN,2,9,31,2,3,1,5
22/08/2024 18:34,22/08/2024 18:37,0,128.250.0.37,100,146,1,22/08/2024 18:37,R_47qYUxp38wuLKSo,,,,,-37.8159,144.9669,qr,EN,1,10,33,3,3,1,6
23/08/2024 11:37,23/08/2024 11:38,0,128.250.0.56,100,55,1,23/08/2024 11:38,R_4rjMccN3OIlOFAf,,,,,-37.8159,144.9669,qr,EN,4,10,21,5,3,4,3
23/08/2024 13:53,23/08/2024 13:55,0,128.250.0.56,100,107,1,23/08/2024 13:55,R_4q83P8gXJrnmyUo,,,,,-37.8159,144.9669,qr,EN,16,10,21,4,1,1,3
23/08/2024 15:24,23/08/2024 15:26,0,128.250.0.56,100,131,1,23/08/2024 15:26,R_4ZPl8Jhc1576wW5,,,,,-37.8159,144.9669,qr,EN,5,10,21,4,1,1,3
