pid,condition,cond_order,pose_order,difficulty,tlx_mental,tlx_physical,tlx_hurried,tlx_successful,tlx_hard,tlx_insecure,tlx_ave,gender,age,video_games,mixed_reality,interact_robot,coordination
1,yes,viz_first,po1,2.0,4.0,2.0,1.0,3.0,3.0,2.0,2.5,female,33,3,3,1,6
1,no,viz_first,po1,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.5,female,33,3,3,1,6
2,yes,viz_first,po2,3.0,5.0,5.0,7.0,12.0,6.0,3.0,6.333333333333333,male,31,2,3,1,5
2,no,viz_first,po2,6.0,9.0,13.0,10.0,11.0,13.0,12.0,11.333333333333334,male,31,2,3,1,5
3,yes,viz_first,po3,5.0,8.0,3.0,3.0,11.0,5.0,2.0,5.333333333333333,female,23,2,3,2,2
3,no,viz_first,po3,3.0,5.0,3.0,3.0,11.0,3.0,3.0,4.666666666666667,female,23,2,3,2,2
4,yes,viz_first,po4,6.0,8.0,10.0,8.0,10.0,9.0,6.0,8.5,female,21,5,3,4,3
4,no,viz_first,po4,2.0,3.0,3.0,9.0,5.0,14.0,2.0,6.0,female,21,5,3,4,3
5,no,viz_first,po1,7.0,1.0,5.0,9.0,20.0,5.0,1.0,6.833333333333333,female,21,4,1,1,3
5,yes,viz_first,po1,6.0,1.0,10.0,3.0,3.0,6.0,1.0,4.0,female,21,4,1,1,3
6,no,viz_first,po2,5.0,14.0,11.0,7.0,5.0,10.0,9.0,9.333333333333334,male,25,7,1,2,3
6,yes,viz_first,po2,6.0,15.0,15.0,8.0,6.0,16.0,14.0,12.333333333333334,male,25,7,1,2,3
7,no,viz_first,po3,4.0,9.0,12.0,3.0,6.0,16.0,9.0,9.166666666666666,female,31,3,2,1,2
7,yes,viz_first,po3,6.0,12.0,10.0,6.0,13.0,11.0,10.0,10.333333333333334,female,31,3,2,1,2
8,no,viz_first,po4,4.0,8.0,6.0,6.0,7.0,6.0,2.0,5.833333333333333,male,21,6,7,6,6
8,yes,viz_first,po4,2.0,2.0,2.0,3.0,4.0,1.0,1.0,2.1666666666666665,male,21,6,7,6,6
9,yes,viz_first,po1,7.0,20.0,18.0,11.0,16.0,20.0,20.0,17.5,male,30,1,1,1,6
9,no,viz_first,po1,5.0,15.0,19.0,11.0,10.0,16.0,17.0,14.666666666666666,male,30,1,1,1,6
10,yes,viz_first,po2,5.0,12.0,9.0,7.0,1.0,12.0,9.0,8.333333333333334,female,19,1,2,2,1
10,no,viz_first,po2,6.0,16.0,18.0,7.0,3.0,14.0,12.0,11.666666666666666,female,19,1,2,2,1
11,yes,viz_first,po3,6.0,10.0,5.0,2.0,10.0,14.0,2.0,7.166666666666667,female,22,1,1,1,7
11,no,viz_first,po3,3.0,4.0,2.0,1.0,6.0,5.0,1.0,3.1666666666666665,female,22,1,1,1,7
12,no,viz_first,po4,5.0,7.0,9.0,1.0,2.0,7.0,3.0,4.833333333333333,male,27,1,3,4,7
12,yes,viz_first,po4,2.0,2.0,9.0,3.0,2.0,2.0,1.0,3.1666666666666665,male,27,1,3,4,7
13,no,none_first,po1,6.0,10.0,10.0,7.0,14.0,10.0,5.0,9.333333333333334,male,28,4,2,2,3
13,yes,none_first,po1,4.0,5.0,5.0,5.0,11.0,5.0,4.0,5.833333333333333,male,28,4,2,2,3
14,no,none_first,po2,6.0,10.0,9.0,7.0,15.0,16.0,10.0,11.166666666666666,male,27,7,2,1,2
14,yes,none_first,po2,4.0,9.0,9.0,6.0,5.0,6.0,6.0,6.833333333333333,male,27,7,2,1,2
15,yes,none_first,po3,2.0,5.0,5.0,3.0,1.0,4.0,4.0,3.6666666666666665,female,37,4,2,2,6
15,no,none_first,po3,4.0,10.0,10.0,8.0,1.0,10.0,7.0,7.666666666666667,female,37,4,2,2,6
16,yes,none_first,po4,4.0,11.0,7.0,5.0,5.0,8.0,5.0,6.833333333333333,female,21,4,1,1,3
16,no,none_first,po4,6.0,17.0,12.0,9.0,7.0,14.0,7.0,11.0,female,21,4,1,1,3
17,yes,none_first,po1,3.0,9.0,18.0,7.0,3.0,14.0,3.0,9.0,female,20,7,1,1,7
17,no,none_first,po1,4.0,3.0,18.0,7.0,5.0,18.0,5.0,9.333333333333334,female,20,7,1,1,7
18,yes,none_first,po2,2.0,9.0,3.0,3.0,5.0,5.0,2.0,4.5,male,31,7,2,1,3
18,no,none_first,po2,4.0,7.0,6.0,4.0,7.0,10.0,3.0,6.166666666666667,male,31,7,2,1,3
19,yes,none_first,po3,5.0,9.0,8.0,10.0,7.0,10.0,7.0,8.5,female,23,3,2,1,1
19,no,none_first,po3,5.0,7.0,12.0,8.0,7.0,10.0,15.0,9.833333333333334,female,23,3,2,1,1
20,yes,none_first,po4,6.0,16.0,17.0,8.0,8.0,17.0,16.0,13.666666666666666,male,27,4,2,2,2
20,no,none_first,po4,6.0,18.0,17.0,4.0,10.0,17.0,17.0,13.833333333333334,male,27,4,2,2,2
21,yes,none_first,po1,5.0,5.0,15.0,7.0,9.0,13.0,3.0,8.666666666666666,female,22,3,1,1,1
21,no,none_first,po1,6.0,9.0,17.0,7.0,11.0,13.0,12.0,11.5,female,22,3,1,1,1
22,no,none_first,po2,7.0,16.0,10.0,1.0,14.0,12.0,11.0,10.666666666666666,female,27,2,1,1,4
22,yes,none_first,po2,5.0,8.0,7.0,1.0,11.0,10.0,8.0,7.5,female,27,2,1,1,4
23,no,none_first,po3,6.0,6.0,14.0,4.0,11.0,11.0,6.0,8.666666666666666,male,25,2,2,2,5
23,yes,none_first,po3,5.0,7.0,8.0,5.0,11.0,11.0,4.0,7.666666666666667,male,25,2,2,2,5
24,no,none_first,po4,3.0,14.0,10.0,5.0,5.0,10.0,3.0,7.833333333333333,female,22,2,1,1,6
24,yes,none_first,po4,2.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,female,22,2,1,1,6
