pid,condition,difficulty,tlx_mental,tlx_physical,tlx_hurried,tlx_successful,tlx_hard,tlx_insecure,tlx_ave
14,no,6.0,10.0,9.0,7.0,15.0,16.0,10.0,11.166666666666666
14,yes,4.0,9.0,9.0,6.0,5.0,6.0,6.0,6.833333333333333
3,yes,5.0,8.0,3.0,3.0,11.0,5.0,2.0,5.333333333333333
3,no,3.0,5.0,3.0,3.0,11.0,3.0,3.0,4.666666666666667
15,no,4.0,10.0,10.0,8.0,1.0,10.0,7.0,7.666666666666667
15,yes,2.0,5.0,5.0,3.0,1.0,4.0,4.0,3.6666666666666665
2,yes,3.0,5.0,5.0,7.0,12.0,6.0,3.0,6.333333333333333
2,no,6.0,9.0,13.0,10.0,11.0,13.0,12.0,11.333333333333334
1,yes,2.0,4.0,2.0,1.0,3.0,3.0,2.0,2.5
1,no,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.5
4,yes,6.0,8.0,10.0,8.0,10.0,9.0,6.0,8.5
4,no,2.0,3.0,3.0,9.0,5.0,14.0,2.0,6.0
16,no,6.0,17.0,12.0,9.0,7.0,14.0,7.0,11.0
16,yes,4.0,11.0,7.0,5.0,5.0,8.0,5.0,6.833333333333333
5,yes,6.0,1.0,10.0,3.0,3.0,6.0,1.0,4.0
5,no,7.0,1.0,5.0,9.0,20.0,5.0,1.0,6.833333333333333
17,no,4.0,3.0,18.0,7.0,5.0,18.0,5.0,9.333333333333334
17,yes,3.0,9.0,18.0,7.0,3.0,14.0,3.0,9.0
6,yes,6.0,15.0,15.0,8.0,6.0,16.0,14.0,12.333333333333334
6,no,5.0,14.0,11.0,7.0,5.0,10.0,9.0,9.333333333333334
13,no,6.0,10.0,10.0,7.0,14.0,10.0,5.0,9.333333333333334
13,yes,4.0,5.0,5.0,5.0,11.0,5.0,4.0,5.833333333333333
18,no,4.0,7.0,6.0,4.0,7.0,10.0,3.0,6.166666666666667
18,yes,2.0,9.0,3.0,3.0,5.0,5.0,2.0,4.5
7,yes,6.0,12.0,10.0,6.0,13.0,11.0,10.0,10.333333333333334
7,no,4.0,9.0,12.0,3.0,6.0,16.0,9.0,9.166666666666666
8,yes,2.0,2.0,2.0,3.0,4.0,1.0,1.0,2.1666666666666665
8,no,4.0,8.0,6.0,6.0,7.0,6.0,2.0,5.833333333333333
19,no,5.0,7.0,12.0,8.0,7.0,10.0,15.0,9.833333333333334
19,yes,5.0,9.0,8.0,10.0,7.0,10.0,7.0,8.5
