ParticipantID,Condition,Trial,TargetID,Target_Position_X,Target_Position_Y,Target_Position_Z,Selection_Position_X,Selection_Position_Y,Selection_Position_Z,GripperTip_Position_X,GripperTip_Position_Y,GripperTip_Position_Z,Gripper_Position_X,Gripper_Position_Y,Gripper_Position_Z,Distance_Tip_to_Disk,Timestamp,
11,B_HumanHorizontal,1,3,-0.03202096,0.7807099,0.9000002,-0.03148834,0.7568672,0.8999023,-0.03148893,0.7568663,0.8003758,-0.05879633,0.7364154,0.6926491,0.09952643,202403281058250983,
11,B_HumanHorizontal,1,8,-0.03202096,0.3352903,0.9000002,-0.01100574,0.310658,0.9000002,-0.01100587,0.3106578,0.8724588,-0.03623083,0.3567994,0.7724405,0.0275414,202403281058440643,
11,B_HumanHorizontal,1,2,0.09346831,0.7626672,0.9000003,0.1128641,0.7390106,0.9000003,0.1128641,0.7390103,0.8140048,0.06775142,0.722288,0.711759,0.08599546,202403281058577815,
11,B_HumanHorizontal,1,7,-0.1473438,0.3879564,0.9000001,-0.1637212,0.4124269,0.9000002,-0.1637211,0.4124266,0.8508028,-0.1702192,0.4475641,0.7436014,0.04919732,202403281059300978,
11,B_HumanHorizontal,1,1,0.189282,0.6796442,0.9000003,0.1872116,0.7039778,0.8999494,0.1872115,0.7039781,0.8129389,0.1391538,0.6981231,0.7108351,0.0870105,202403281059482121,
11,B_HumanHorizontal,1,6,-0.215886,0.4946103,0.9000002,-0.1916997,0.4854208,0.9000001,-0.1916997,0.4854206,0.8198527,-0.1945703,0.5126224,0.7102131,0.08014742,202403281059593966,
11,B_HumanHorizontal,1,0,0.2249999,0.5580001,0.9000002,0.2074826,0.5353796,0.9000003,0.2074827,0.5353795,0.8227055,0.1599964,0.5576771,0.7226209,0.07729478,202403281100220810,
11,B_HumanHorizontal,1,5,-0.2158861,0.62139,0.9000002,-0.1956794,0.6079978,0.8999386,-0.1956798,0.6079979,0.8041462,-0.1943998,0.6168583,0.6915014,0.09579239,202403281100353104,
11,B_HumanHorizontal,1,10,0.1892819,0.4363559,0.9000003,0.1802017,0.4610228,0.9000003,0.1802017,0.4610225,0.8369785,0.1374229,0.4916038,0.7369595,0.06302176,202403281100478300,
11,B_HumanHorizontal,1,4,-0.1473437,0.7280438,0.9000002,-0.1433126,0.703437,0.9000002,-0.1433125,0.703437,0.8002146,-0.1511937,0.6938527,0.687898,0.09978558,202403281101017984,
11,B_HumanHorizontal,1,9,0.09346822,0.3533328,0.9000002,0.06918735,0.3390104,0.9000002,0.06918741,0.3390102,0.8724704,0.04279362,0.3835485,0.7720278,0.02752979,202403281101135638,
11,B_HumanHorizontal,2,3,-0.03202096,0.7807099,0.9000002,-0.007168924,0.7722566,0.9000003,-0.007168815,0.7722563,0.8006383,-0.03059851,0.7527645,0.6918261,0.09936199,202403281101469782,
11,B_HumanHorizontal,2,8,-0.03202096,0.3352903,0.9000002,-0.0293599,0.3598878,0.8999724,-0.02935964,0.359888,0.8353558,-0.0350424,0.4093817,0.7339306,0.06461652,202403281102095637,
11,B_HumanHorizontal,2,2,0.09346831,0.7626672,0.9000003,0.09061418,0.738507,0.8999323,0.090614,0.7385066,0.8344008,0.05282273,0.7206025,0.7294232,0.06553141,202403281102143462,
11,B_HumanHorizontal,2,7,-0.1473438,0.3879564,0.9000001,-0.1536043,0.3934942,0.8995445,-0.1536044,0.3934946,0.7995449,-0.1455258,0.441622,0.6976259,0.09999961,202403281102269145,
11,B_HumanHorizontal,2,1,0.189282,0.6796442,0.9000003,0.1649953,0.6871078,0.9000002,0.1649954,0.6871075,0.8004838,0.1315327,0.6897477,0.6925846,0.09951634,202403281102383169,
11,B_HumanHorizontal,2,6,-0.215886,0.4946103,0.9000002,-0.1922148,0.4859793,0.9000001,-0.1922148,0.4859791,0.8000559,-0.1706305,0.5187395,0.6940847,0.09994424,202403281103101275,
