ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633307,33.53491,6.051173,-14.15287,-160.7081,136.5974,-12.24614,202408291439401445,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633611,33.53503,6.051335,-14.15298,-160.7077,136.5972,-12.24607,202408291439401842,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633376,33.53482,6.051437,-14.15309,-160.7078,136.5972,-12.24639,202408291439402149,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633416,33.53491,6.051478,-14.1531,-160.7078,136.5973,-12.24621,202408291439402312,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633557,33.53491,6.051315,-14.15275,-160.7079,136.5973,-12.24612,202408291439402699,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633106,33.53508,6.051095,-14.15268,-160.7079,136.5971,-12.24598,202408291439403026,
2-12,C_HumanVertical,1,Q3FrontDown,-5.632935,33.53491,6.051277,-14.15229,-160.708,136.5972,-12.24625,202408291439403339,
2-12,C_HumanVertical,1,Q3FrontDown,-5.632935,33.53491,6.051277,-14.15229,-160.708,136.5972,-12.24625,202408291439403520,
2-12,C_HumanVertical,1,Q3FrontDown,-5.632996,33.53495,6.051437,-14.15237,-160.7079,136.5973,-12.24594,202408291439403822,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633094,33.53512,6.051726,-14.15222,-160.7078,136.5973,-12.24612,202408291439403959,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633094,33.53512,6.051726,-14.15222,-160.7078,136.5973,-12.24612,202408291439404134,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633134,33.53491,6.051237,-14.15228,-160.7077,136.5974,-12.24607,202408291439404462,
2-12,C_HumanVertical,1,Q3FrontDown,-5.632995,33.53491,6.051663,-14.15201,-160.7079,136.5972,-12.24598,202408291439404645,
2-12,C_HumanVertical,1,Q3FrontDown,-5.632995,33.53491,6.051663,-14.15201,-160.7079,136.5972,-12.24598,202408291439404931,
2-12,C_HumanVertical,1,Q3FrontDown,-5.632868,33.53497,6.051505,-14.15206,-160.708,136.5973,-12.24621,202408291439405234,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633009,33.53492,6.051555,-14.1517,-160.7079,136.5973,-12.24607,202408291439405420,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633009,33.53492,6.051555,-14.1517,-160.7079,136.5973,-12.24607,202408291439405575,
2-12,C_HumanVertical,1,Q3FrontDown,-5.633009,33.53492,6.051555,-14.1517,-160.7079,136.5973,-12.24607,202408291439405810,
2-12,C_HumanVertical,1,Q3FrontDown,-5.632206,33.53481,6.0516,-14.15155,-160.7081,136.5973,-12.24594,202408291439406061,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631672,33.53503,6.051418,-14.15145,-160.7081,136.5973,-12.24629,202408291439406246,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631672,33.53503,6.051418,-14.15145,-160.7081,136.5973,-12.24629,202408291439406433,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631407,33.53485,6.051218,-14.15162,-160.708,136.5974,-12.2463,202408291439406644,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631407,33.53485,6.051218,-14.15162,-160.708,136.5974,-12.2463,202408291439406827,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631527,33.53508,6.051329,-14.15151,-160.7079,136.5974,-12.24589,202408291439407082,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631608,33.53506,6.051329,-14.1515,-160.7079,136.5975,-12.24609,202408291439407418,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631586,33.53503,6.051095,-14.15133,-160.7082,136.5972,-12.24624,202408291439407573,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631586,33.53503,6.051095,-14.15133,-160.7082,136.5972,-12.24624,202408291439407749,
2-12,C_HumanVertical,1,Q3FrontDown,-5.631175,33.53491,6.051315,-14.15147,-160.7077,136.5973,-12.24615,202408291439407943,
2-12,C_HumanVertical,1,Q3FrontDown,-5.630806,33.53481,6.051417,-14.15133,-160.708,136.5973,-12.24576,202408291439408242,
2-12,C_HumanVertical,1,Q3FrontDown,-5.630806,33.53481,6.051417,-14.15133,-160.708,136.5973,-12.24576,202408291439408414,
2-12,C_HumanVertical,1,Q3FrontDown,-5.630766,33.53493,6.051363,-14.15143,-160.708,136.5973,-12.24578,202408291439408743,
2-12,C_HumanVertical,1,Q3FrontDown,-5.630261,33.53525,6.051139,-14.15145,-160.7076,136.5973,-12.24571,202408291439408960,
2-12,C_HumanVertical,1,Q3FrontDown,-5.630261,33.53525,6.051139,-14.15145,-160.7076,136.5973,-12.24571,202408291439409199,
2-12,C_HumanVertical,1,Q3FrontDown,-5.630261,33.53482,6.051076,-14.15133,-160.7079,136.5973,-12.24605,202408291439409445,
2-12,C_HumanVertical,1,Q3FrontDown,-5.629884,33.53493,6.051256,-14.15145,-160.7081,136.5972,-12.2459,202408291439409763,
2-12,C_HumanVertical,1,Q3FrontDown,-5.629884,33.53493,6.051256,-14.15145,-160.7081,136.5972,-12.2459,202408291439410110,
2-12,C_HumanVertical,1,Q3FrontDown,-5.629643,33.53492,6.051139,-14.15133,-160.7079,136.5973,-12.2458,202408291439410287,
2-12,C_HumanVertical,1,Q3FrontDown,-5.629643,33.53492,6.051139,-14.15133,-160.7079,136.5973,-12.2458,202408291439410454,
2-12,C_HumanVertical,1,Q3FrontDown,-5.628985,33.53491,6.051273,-14.15155,-160.708,136.5973,-12.24598,202408291439410750,
2-12,C_HumanVertical,1,Q3FrontDown,-5.628891,33.53481,6.051315,-14.15133,-160.7079,136.5973,-12.24581,202408291439410944,
2-12,C_HumanVertical,1,Q3FrontDown,-5.628891,33.53481,6.051315,-14.15133,-160.7079,136.5973,-12.24581,202408291439411134,
2-12,C_HumanVertical,1,Q3FrontDown,-5.628064,33.53502,6.051418,-14.15128,-160.7082,136.5973,-12.24598,202408291439411365,
2-12,C_HumanVertical,1,Q3FrontDown,-5.627702,33.53506,6.051413,-14.15139,-160.7077,136.5974,-12.24575,202408291439411671,
2-12,C_HumanVertical,1,Q3FrontDown,-5.627702,33.53506,6.051413,-14.15139,-160.7077,136.5974,-12.24575,202408291439411937,
2-12,C_HumanVertical,1,Q3FrontDown,-5.626954,33.53481,6.051315,-14.15129,-160.7081,136.5973,-12.24598,202408291439412134,
2-12,C_HumanVertical,1,Q3FrontDown,-5.623862,33.53502,6.050809,-14.15102,-160.7082,136.5974,-12.24598,202408291439412455,
2-12,C_HumanVertical,1,Q3FrontDown,-5.619081,33.53481,6.051221,-14.15078,-160.7079,136.5973,-12.24557,202408291439412737,
2-12,C_HumanVertical,1,Q3FrontDown,-5.614198,33.53491,6.051132,-14.15078,-160.7082,136.5973,-12.24602,202408291439412892,
2-12,C_HumanVertical,1,Q3FrontDown,-5.614198,33.53491,6.051132,-14.15078,-160.7082,136.5973,-12.24602,202408291439413066,
2-12,C_HumanVertical,1,Q3FrontDown,-5.614198,33.53491,6.051132,-14.15078,-160.7082,136.5973,-12.24602,202408291439413237,
2-12,C_HumanVertical,1,Q3FrontDown,-5.606272,33.53492,6.051132,-14.15068,-160.708,136.5974,-12.24588,202408291439413413,
2-12,C_HumanVertical,1,Q3FrontDown,-5.606272,33.53492,6.051132,-14.15068,-160.708,136.5974,-12.24588,202408291439413660,
2-12,C_HumanVertical,1,Q3FrontDown,-5.59747,33.53481,6.051132,-14.15033,-160.7079,136.5975,-12.24606,202408291439413816,
2-12,C_HumanVertical,1,Q3FrontDown,-5.588828,33.53498,6.051235,-14.14999,-160.708,136.5975,-12.24563,202408291439414067,
2-12,C_HumanVertical,1,Q3FrontDown,-5.575861,33.53487,6.051254,-14.14983,-160.7083,136.5973,-12.24575,202408291439414267,
2-12,C_HumanVertical,1,Q3FrontDown,-5.575861,33.53487,6.051254,-14.14983,-160.7083,136.5973,-12.24575,202408291439414440,
2-12,C_HumanVertical,1,Q3FrontDown,-5.562368,33.53503,6.051498,-14.14963,-160.7082,136.5974,-12.24602,202408291439414669,
2-12,C_HumanVertical,1,Q3FrontDown,-5.548363,33.53502,6.051396,-14.14983,-160.7081,136.5975,-12.24566,202408291439414905,
2-12,C_HumanVertical,1,Q3FrontDown,-5.548363,33.53502,6.051396,-14.14983,-160.7081,136.5975,-12.24566,202408291439415074,
