ParticipantID,Condition,Trial,PostureID,J1,J2,J3,J4,J5,J6,J7,Timestamp
2-Mar,C_HumanVertical,1,Q3FrontUp,-38.23799,13.16521,105.8949,-40.18642,-103.8241,151.7198,-57.96587,202408221425402251
2-Mar,C_HumanVertical,1,Q3FrontUp,-38.23819,13.16531,105.895,-40.18632,-103.8242,151.72,-57.96582,202408221425402628
2-Mar,C_HumanVertical,1,Q3FrontUp,-38.20236,13.1651,105.8513,-40.17854,-103.8244,151.7201,-57.96553,202408221425402908
2-Mar,C_HumanVertical,1,Q3FrontUp,-38.1228,13.16422,105.7484,-40.15157,-103.8242,151.7197,-57.96471,202408221425403128
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.95445,13.19546,105.6395,-40.06654,-103.8268,151.7507,-57.92069,202408221425403452
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.95445,13.19546,105.6395,-40.06654,-103.8268,151.7507,-57.92069,202408221425403704
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.59439,13.27035,105.4028,-39.84574,-103.8264,151.8473,-57.83414,202408221425404014
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.59439,13.27035,105.4028,-39.84574,-103.8264,151.8473,-57.83414,202408221425404178
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.59439,13.27035,105.4028,-39.84574,-103.8264,151.8473,-57.83414,202408221425404335
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.29713,13.3536,105.1373,-39.59621,-103.8257,151.916,-57.74898,202408221425404739
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.29713,13.3536,105.1373,-39.59621,-103.8257,151.916,-57.74898,202408221425404954
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.16699,13.38284,104.9919,-39.48155,-103.8256,151.9413,-57.70883,202408221425405190
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.16699,13.38284,104.9919,-39.48155,-103.8256,151.9413,-57.70883,202408221425405403
2-Mar,C_HumanVertical,1,Q3FrontUp,-37.16699,13.38284,104.9919,-39.48155,-103.8256,151.9413,-57.70883,202408221425405582
2-Mar,C_HumanVertical,1,Q3FrontUp,-36.9178,13.46657,104.7289,-39.30546,-103.8258,151.9727,-57.6415,202408221425405760
2-Mar,C_HumanVertical,1,Q3FrontUp,-36.9178,13.46657,104.7289,-39.30546,-103.8258,151.9727,-57.6415,202408221425406112
2-Mar,C_HumanVertical,1,Q3FrontUp,-36.79176,13.50161,104.5775,-39.22598,-103.8259,151.9855,-57.61458,202408221425406293
2-Mar,C_HumanVertical,1,Q3FrontUp,-36.68394,13.53202,104.4312,-39.16428,-103.826,151.9933,-57.59639,202408221425406498
2-Mar,C_HumanVertical,1,Q3FrontUp,-36.60236,13.55933,104.3248,-39.10359,-103.8259,151.9968,-57.57645,202408221425406820
2-Mar,C_HumanVertical,1,Q3FrontUp,-36.54533,13.58047,104.2421,-39.04207,-103.826,152.0031,-57.55794,202408221425407102
