condition,tlx_item,tlx_mean,lower,upper
Viz,Mental Demand,8.125,7.1688746292260195,9.08112537077398
No Viz,Mental Demand,9.166666666666666,8.142207341845733,10.1911259914876
Viz,Physical Demand,8.416666666666666,7.386476261677665,9.446857071655668
No Viz,Physical Demand,10.333333333333334,9.267278255041555,11.399388411625113
Viz,Temporal Demand,5.125,4.543545987961265,5.706454012038735
No Viz,Temporal Demand,5.791666666666667,5.172003461431189,6.4113298719021445
Viz,Performance,7.083333333333333,6.219577071864246,7.94708959480242
No Viz,Performance,8.125,7.170771234854092,9.079228765145908
Viz,Effort,8.75,7.693189787101319,9.806810212898682
No Viz,Effort,10.875,9.943831768495983,11.806168231504017
Viz,Frustration,5.583333333333333,4.54963190286949,6.617034763797176
No Viz,Frustration,7.208333333333333,6.164061229400101,8.252605437266565
